Original_Term,Reference,Standardized_Term
Species,Kverkova_etal_2018_TableS1,Species
Body_Mass.g,Kverkova_etal_2018_TableS1,Body_Mass.g
Brain_Mass.g,Kverkova_etal_2018_TableS1,Brain_Mass.mg
Olfactory bulbs_Vol.mm3,Kverkova_etal_2018_TableS1,Bulbus_olfactorius_Vol.mm3
Olfactory cortices_Vol.mm3,Kverkova_etal_2018_TableS1,OlfactoryCortices_Vol.mm3
Neocortex_Vol.mm3,Kverkova_etal_2018_TableS1,Neocortex_Vol.mm3
Entorhinal cortex_Vol.mm3,Kverkova_etal_2018_TableS1,EntorhinalCortex_Vol.mm3
Hippocampus_Vol.mm3,Kverkova_etal_2018_TableS1,Hippocampus_Vol.mm3
Amygdala_Vol.mm3,Kverkova_etal_2018_TableS1,Amygdala_Vol.mm3
Striatum_Vol.mm3,Kverkova_etal_2018_TableS1,Striatum_Vol.mm3
Septum_Vol.mm3,Kverkova_etal_2018_TableS1,Septum_Vol.mm3
Thalamus_Vol.mm3,Kverkova_etal_2018_TableS1,Thalamus_Vol.mm3
Hypothalamus_Vol.mm3,Kverkova_etal_2018_TableS1,Hypothalamus_Vol.mm3
Cerebellum_Vol.mm3,Kverkova_etal_2018_TableS1,Cerebellum_Vol.mm3
Tectum_Vol.mm3,Kverkova_etal_2018_TableS1,Tectum_Vol.mm3
Tegmentum_Vol.mm3,Kverkova_etal_2018_TableS1,Tegmentum_Vol.mm3
Medulla oblongata_Vol.mm3,Kverkova_etal_2018_TableS1,Medulla_oblongata_Vol.mm3
