item,team,year,N_status,how_to_get_N,merged_tsv,cells_in_volumes_long,cells_where_averaging_happens,blocks_weighting,resolved_2026_08_19
Sherwood_etal_2005_Table1,Zilles,2005,A_printed_in_merged_TSV,column(s): N,10.1016%2Fj.jhevol.2004.10.003_Table1.tsv,188,46,,
Frahm_etal_1982_Table2,Stephan_collection,1982,A_printed_in_merged_TSV,column(s): n,PMID%3A7161477_Table2.tsv,190,30,,
Frahm_etal_1998_Table1,Stephan_collection,1998,A_printed_in_merged_TSV,column(s): n,PMID%3A9672110_Table1.tsv,81,18,,
Matano_etal_1985_a_Table1,Stephan_collection,1985,A_printed_in_merged_TSV,column(s): n,10.1159%2F000156212_Table1.tsv,224,10,,
Stephan_etal_1984_Table1,Stephan_collection,1984,A_printed_in_merged_TSV,column(s): n,PMID%3A6481154_Table1.tsv,31,6,,
Frahm_etal_1984_Table1,Stephan_collection,1984,A_printed_in_merged_TSV,column(s): n,PMID%3A6501869_Table1.tsv,158,5,,
Stephan_etal_1982_Table1,Stephan_collection,1982,A_printed_in_merged_TSV,column(s): n_note;n,PMID%3A7161483_Table1.tsv,244,0,,
Baron_etal_1983_Table1,Stephan_collection,1983,A_printed_in_merged_TSV,column(s): n;n_note,PMID%3A6663055_Table1.tsv,1,0,,
Matano_etal_1985_b_Table1,Stephan_collection,1985,A_printed_in_merged_TSV,column(s): n,10.1159%2F000156211_Table1.tsv,48,0,,
Matano__1986_TableI,Stephan_collection,1986,A_printed_in_merged_TSV,column(s): n,10.1159%2F000156277_TableI.tsv,230,0,,
Matano__1992_Tables1to4,Stephan_collection,1992,A_printed_in_merged_TSV,column(s): n,10.1537%2Fase1911.100.69_Tables1to4.tsv,180,0,,
Semendeferi_etal_1998_Table2,Zilles,1998,A_printed_in_merged_TSV,column(s): n,10.1002%2F(SICI)1096-8644(199806)106%3A2%3C129%3A%3AAID-AJPA3%3E3.0.CO;2-L_TABLE2.tsv,6,0,,
Semendeferi_etal_2001_Table2,Zilles,2001,A_printed_in_merged_TSV,column(s): n,10.1002%2F1096-8644(200103)114%3A3%3C224%3A%3AAID-AJPA1022%3E3.0.CO;2-I_TABLE2.tsv,6,0,,
Stephan_etal_1981_TableIII,Stephan_collection,1981,B_printed_elsewhere_in_paper,Stephan_etal_1981/Stephan_etal_1981_TablesI-VI.csv [n_1_18;n_19_26;n_27_28;n_29_34;n_35_39;n_40_44],10.1159%2F000155963_TableIII.tsv,243,56,,
Stephan_etal_1981_TableII,Stephan_collection,1981,B_printed_elsewhere_in_paper,Stephan_etal_1981/Stephan_etal_1981_TablesI-VI.csv [n_1_18;n_19_26;n_27_28;n_29_34;n_35_39;n_40_44],10.1159%2F000155963_TableII.tsv,189,35,,
Bauernfeind_etal_2013_Table1,Zilles,2013,B_printed_elsewhere_in_paper,Bauernfeind_etal_2013/Bauernfeind_etal_2013_Table3.csv [n],10.1016%2Fj.jhevol.2012.12.003_Table1.tsv,297,16,,
deSousa_etal_2013_Table1,Zilles,2013,B_printed_elsewhere_in_paper,deSousa_etal_2013/deSousa_etal_2013_Table1_snapshot.csv [n_leaflets;n_brain;n_LGN],10.1159%2F000346495_Table1.tsv,24,13,,
Stephan_etal_1981_TableI,Stephan_collection,1981,B_printed_elsewhere_in_paper,Stephan_etal_1981/Stephan_etal_1981_TablesI-VI.csv [n_1_18;n_19_26;n_27_28;n_29_34;n_35_39;n_40_44],10.1159%2F000155963_TableI.tsv,252,6,,
Stephan_etal_1981_TableV,Stephan_collection,1981,B_printed_elsewhere_in_paper,Stephan_etal_1981/Stephan_etal_1981_TablesI-VI.csv [n_1_18;n_19_26;n_27_28;n_29_34;n_35_39;n_40_44],10.1159%2F000155963_TableV.tsv,117,4,,
Stephan_etal_1981_TableVI,Stephan_collection,1981,B_printed_elsewhere_in_paper,Stephan_etal_1981/Stephan_etal_1981_TablesI-VI.csv [n_1_18;n_19_26;n_27_28;n_29_34;n_35_39;n_40_44],10.1159%2F000155963_TableVI.tsv,150,2,,
Stephan_etal_1981_TableIV,Stephan_collection,1981,B_printed_elsewhere_in_paper,Stephan_etal_1981/Stephan_etal_1981_TablesI-VI.csv [n_1_18;n_19_26;n_27_28;n_29_34;n_35_39;n_40_44],10.1159%2F000155963_TableIV.tsv,179,0,,
Stephan_etal_1981_TableVII,Stephan_collection,1981,B_printed_elsewhere_in_paper,Stephan_etal_1981/Stephan_etal_1981_TablesI-VI.csv [n_1_18;n_19_26;n_27_28;n_29_34;n_35_39;n_40_44],10.1159%2F000155963_TableVII.tsv,80,0,,
Stephan_etal_1981_TableVIII,Stephan_collection,1981,B_printed_elsewhere_in_paper,Stephan_etal_1981/Stephan_etal_1981_TablesI-VI.csv [n_1_18;n_19_26;n_27_28;n_29_34;n_35_39;n_40_44],10.1159%2F000155963_TableVIII.tsv,216,0,,
Stephan_etal_1981_TableIX,Stephan_collection,1981,B_printed_elsewhere_in_paper,Stephan_etal_1981/Stephan_etal_1981_TablesI-VI.csv [n_1_18;n_19_26;n_27_28;n_29_34;n_35_39;n_40_44],10.1159%2F000155963_TableIX.tsv,0,0,,
Stephan_etal_1981_TableX,Stephan_collection,1981,B_printed_elsewhere_in_paper,Stephan_etal_1981/Stephan_etal_1981_TablesI-VI.csv [n_1_18;n_19_26;n_27_28;n_29_34;n_35_39;n_40_44],10.1159%2F000155963_TableX.tsv,10,0,,
Stephan_etal_1981_TableXI,Stephan_collection,1981,B_printed_elsewhere_in_paper,Stephan_etal_1981/Stephan_etal_1981_TablesI-VI.csv [n_1_18;n_19_26;n_27_28;n_29_34;n_35_39;n_40_44],10.1159%2F000155963_TableXI.tsv,25,0,,
Stephan_etal_1981_TableXII,Stephan_collection,1981,B_printed_elsewhere_in_paper,Stephan_etal_1981/Stephan_etal_1981_TablesI-VI.csv [n_1_18;n_19_26;n_27_28;n_29_34;n_35_39;n_40_44],10.1159%2F000155963_TableXII.tsv,55,0,,
Stephan_etal_1981_TableXIII,Stephan_collection,1981,B_printed_elsewhere_in_paper,Stephan_etal_1981/Stephan_etal_1981_TablesI-VI.csv [n_1_18;n_19_26;n_27_28;n_29_34;n_35_39;n_40_44],10.1159%2F000155963_TableXIII.tsv,0,0,,
Stephan_etal_1981_TableXIV,Stephan_collection,1981,B_printed_elsewhere_in_paper,Stephan_etal_1981/Stephan_etal_1981_TablesI-VI.csv [n_1_18;n_19_26;n_27_28;n_29_34;n_35_39;n_40_44],10.1159%2F000155963_TableXIV.tsv,130,0,,
Stephan_etal_1981_TableXV,Stephan_collection,1981,B_printed_elsewhere_in_paper,Stephan_etal_1981/Stephan_etal_1981_TablesI-VI.csv [n_1_18;n_19_26;n_27_28;n_29_34;n_35_39;n_40_44],10.1159%2F000155963_TableXV.tsv,100,0,,
Stephan_etal_1981_TableXVI,Stephan_collection,1981,B_printed_elsewhere_in_paper,Stephan_etal_1981/Stephan_etal_1981_TablesI-VI.csv [n_1_18;n_19_26;n_27_28;n_29_34;n_35_39;n_40_44],10.1159%2F000155963_TableXVI.tsv,105,0,,
Bauernfeind_etal_2013_Table2,Zilles,2013,B_printed_elsewhere_in_paper,Bauernfeind_etal_2013/Bauernfeind_etal_2013_Table3.csv [n],10.1016%2Fj.jhevol.2012.12.003_Table2.tsv,25,0,,
MacLeod_etal_2003_Table2,Zilles,2003,C_derivable_from_specimen_rows,count rows per species on 'specimen' (50 specimen rows / 16 species),10.1016%2Fs0047-2484(03)00028-9_Table2.tsv,64,29,,
Reep_etal_2007_Table1,Reep,2007,C_derivable_from_specimen_rows,count rows per species on 'specimen_number' (29 rows / 29 species -> N=1 each),10.1159%2F000101491_Table1.tsv,319,26,,
MacLeod_etal_2003_Table1,Zilles,2003,C_derivable_from_specimen_rows,count rows per species on 'specimen' (47 specimen rows / 11 species),10.1016%2Fs0047-2484(03)00028-9_Table1.tsv,44,18,,
deSousa_etal_2010_Table1,Zilles,2010,C_derivable_from_specimen_rows,count rows per species on 'code' (29 specimen rows / 8 species),10.1016%2Fj.jhevol.2009.11.011_Table1.tsv,29,9,,
