Species,species_as_published,area_as_published,layer,areal_proportion_pct,n_specimens,source,source_location,data_role
Lemur catta,Lemur catta,area29_posterior_cingulate,molecular,21,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Lemur catta,Lemur catta,area29_posterior_cingulate,outer_main,26,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Lemur catta,Lemur catta,area29_posterior_cingulate,inner_main,53,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Lemur catta,Lemur catta,area30_posterior_cingulate,molecular,14,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Lemur catta,Lemur catta,area30_posterior_cingulate,outer_main,29,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Lemur catta,Lemur catta,area30_posterior_cingulate,inner_main,57,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Lemur catta,Lemur catta,area23_posterior_cingulate,molecular,10,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Lemur catta,Lemur catta,area23_posterior_cingulate,outer_main,33,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Lemur catta,Lemur catta,area23_posterior_cingulate,granular,7,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Lemur catta,Lemur catta,area23_posterior_cingulate,inner_main,50,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Lemur catta,Lemur catta,area31_posterior_cingulate,molecular,10,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Lemur catta,Lemur catta,area31_posterior_cingulate,outer_main,33,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Lemur catta,Lemur catta,area31_posterior_cingulate,granular,10,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Lemur catta,Lemur catta,area31_posterior_cingulate,inner_main,47,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Loris tardigradus,Loris tardigradus,area29_posterior_cingulate,molecular,29,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Loris tardigradus,Loris tardigradus,area29_posterior_cingulate,outer_main,34,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Loris tardigradus,Loris tardigradus,area29_posterior_cingulate,inner_main,37,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Loris tardigradus,Loris tardigradus,area30_posterior_cingulate,molecular,22,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Loris tardigradus,Loris tardigradus,area30_posterior_cingulate,outer_main,34,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Loris tardigradus,Loris tardigradus,area30_posterior_cingulate,inner_main,44,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Loris tardigradus,Loris tardigradus,area23_posterior_cingulate,molecular,13,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Loris tardigradus,Loris tardigradus,area23_posterior_cingulate,outer_main,31,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Loris tardigradus,Loris tardigradus,area23_posterior_cingulate,granular,9,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Loris tardigradus,Loris tardigradus,area23_posterior_cingulate,inner_main,47,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Loris tardigradus,Loris tardigradus,area31_posterior_cingulate,molecular,14,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Loris tardigradus,Loris tardigradus,area31_posterior_cingulate,outer_main,34,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Loris tardigradus,Loris tardigradus,area31_posterior_cingulate,granular,12,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
