Source,Cited_as,Registry_item,Citation,First_author,Other_authors,Year,Publication,Table,DOI_or_ISBN,URL,Registry_team,Registry_collection,Cited_via
Ashwell__2020_SupplementaryTable,Ashwell (2020) Supplementary Table,Ashwell__2020_SupplementaryTable,"Ashwell, K. W. S. (2020). Quantitative analysis of cerebellar morphology in monotreme, metatherian and eutherian mammals. Zoology (Jena), 139, 125753. https://doi.org/10.1016/j.zool.2020.125753",Ashwell,NA,2020,Ashwell__2020,Supplementary Table,10.1016/j.zool.2020.125753,https://doi.org/10.1016/j.zool.2020.125753,Ashwell,NA,NA
Barger_etal_2007_TABLE1,Barger et al. (2007) TABLE 1,Barger_etal_2007_TABLE1,"Barger, N., Stefanacci, L., & Semendeferi, K. (2007). A comparative volumetric analysis of the amygdaloid complex and basolateral division in the human and ape brain. Am J Phys Anthropol, 134(3), 392-403. https://doi.org/10.1002/ajpa.20684",Barger,etal,2007,Barger_etal_2007,TABLE 1,10.1002/ajpa.20684,https://doi.org/10.1002/ajpa.20684,NA,Zilles,NA
Baron_etal_1983_Table1,Baron et al. (1983) Table 1,Baron_etal_1983_Table1,"Baron, G., Frahm, H. D., Bhatnagar, K. P., & Stephan, H. (1983). Comparison of brain structure volumes in Insectivora and Primates. III. Main olfactory bulb (MOB). J Hirnforsch, 24(5), 551-568. https://www.ncbi.nlm.nih.gov/pubmed/6663055",Baron,etal,1983,Baron_etal_1983,Table 1,PMID:6663055,https://doi.org/PMID:6663055,Stephan,Stephan,NA
Baron_etal_1987_Table1,Baron et al. (1987) Table 1,Baron_etal_1987_Table1,"Baron, G., Stephan, H., & Frahm, H. D. (1987). Comparison of brain structure volumes in Insectivora and Primates. VI. Paleocortical components. J Hirnforsch, 28(4), 463-477. http://www.ncbi.nlm.nih.gov/pubmed/3116076",Baron,etal,1987,Baron_etal_1987,Table 1,PMID:3116076,https://doi.org/PMID:3116076,Stephan,Stephan,NA
Baron_etal_1988_Table1,Baron et al. (1988) Table 1,Baron_etal_1988_Table1,"Baron, G., Frahm, H. D., & Stephan, H. (1988). Comparison of brain structure volumes in Insectivora and Primates. VIII. Vestibular complex. J Hirnforsch, 29(5), 509-523. http://www.ncbi.nlm.nih.gov/pubmed/3216099",Baron,etal,1988,Baron_etal_1988,Table 1,PMID:3216099,https://doi.org/PMID:3216099,Stephan,Stephan,NA
Baron_etal_1990_Table1,Baron et al. (1990) Table 1,Baron_etal_1990_Table1,"Baron, G., Stephan, H., & Frahm, H. D. (1990). Comparison of brain structure volumes in Insectivora and primates. IX. Trigeminal complex. J Hirnforsch, 31(2), 193-200. https://www.ncbi.nlm.nih.gov/pubmed/2358663",Baron,etal,1990,Baron_etal_1990,Table 1,PMID:2358663,https://doi.org/PMID:2358663,Stephan,Stephan,NA
Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,Bauernfeind_etal_2013_Table1,"Bauernfeind, A. L., de Sousa, A. A., Avasthi, T., Dobson, S. D., Raghanti, M. A., Lewandowski, A. H., Zilles, K., Semendeferi, K., Allman, J. M., Craig, A. D., Hof, P. R., & Sherwood, C. C. (2013). A volumetric comparison of the insular cortex and its subregions in primates. J Hum Evol, 64(4), 263-279. https://doi.org/10.1016/j.jhevol.2012.12.003",Bauernfeind,etal,2013,Bauernfeind_etal_2013,Table 1,10.1016/j.jhevol.2012.12.003,https://doi.org/10.1016/j.jhevol.2012.12.003,"Stephan, Sherwood",NA,NA
Bauernfeind_etal_2013_Table2,Bauernfeind et al. (2013) Table 2,Bauernfeind_etal_2013_Table2,"Bauernfeind, A. L., de Sousa, A. A., Avasthi, T., Dobson, S. D., Raghanti, M. A., Lewandowski, A. H., Zilles, K., Semendeferi, K., Allman, J. M., Craig, A. D., Hof, P. R., & Sherwood, C. C. (2013). A volumetric comparison of the insular cortex and its subregions in primates. J Hum Evol, 64(4), 263-279. https://doi.org/10.1016/j.jhevol.2012.12.003",Bauernfeind,etal,2013,Bauernfeind_etal_2013,Table 2,10.1016/j.jhevol.2012.12.003,https://doi.org/10.1016/j.jhevol.2012.12.003,"Stephan, Sherwood",NA,NA
Bush_Allman_2003_Table1,Bush & Allman (2003) Table 1,Bush_Allman_2003_Table1,"Bush, E. C., & Allman, J. M. (2003). The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav Evol, 61(1), 1-5. https://doi.org/10.1159/000068880",Bush,Allman,2003,Bush_Allman_2003,Table 1,10.1159/000068880,https://doi.org/10.1159/000068880,Allman,AFIP,NA
Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,Bush_Allman_2004_a_Table2,"Bush, E. C., & Allman, J. M. (2004). The scaling of frontal cortex in primates and carnivores. Proc Natl Acad Sci U S A, 101(11), 3962-3966. https://doi.org/10.1073/pnas.0305760101",Bush,Allman,2004,Bush_Allman_2004_a,Table 2,10.1073/pnas.0305760101,https://doi.org/10.1073/pnas.0305760101,Allman,AFIP,NA
