Source,Cited_as,Registry_item,Citation,First_author,Other_authors,Year,Publication,Table,DOI_or_ISBN,URL,Registry_team,Registry_collection,Cited_via
Barger_etal_2007_TABLE1,Barger et al. (2007) TABLE 1,Barger_etal_2007_TABLE1,"Barger, N., Stefanacci, L., & Semendeferi, K. (2007). A comparative volumetric analysis of the amygdaloid complex and basolateral division in the human and ape brain. Am J Phys Anthropol, 134(3), 392-403. https://doi.org/10.1002/ajpa.20684",Barger,etal,2007,Barger_etal_2007,TABLE 1,10.1002/ajpa.20684,https://doi.org/10.1002/ajpa.20684,NA,Zilles,NA
Barger_etal_2014_Table1,Barger et al. (2014) Table 1,Barger_etal_2014_Table1,"Barger, N., Hanson, K. L., Teffer, K., Schenker-Ahmed, N. M., & Semendeferi, K. (2014). Evidence for evolutionary specialization in human limbic structures. Front Hum Neurosci, 8, 277. https://doi.org/10.3389/fnhum.2014.00277",Barger,etal,2014,Barger_etal_2014,Table 1,10.3389/fnhum.2014.00277,https://doi.org/10.3389/fnhum.2014.00277,NA,Zilles,NA
Barks_etal_2014_Fig4A,Barks et al. (2014) Fig 4 A,Barks_etal_2014_Fig4A,"Barks, S. K., Calhoun, M. E., Hopkins, W. D., Cranfield, M. R., Mudakikwa, A., Stoinski, T. S., Patterson, F. G., Erwin, J. M., Hecht, E. E., Hof, P. R., & Sherwood, C. C. (2014). Brain organization of gorillas reflects species differences in ecology. Am J Phys Anthropol. https://doi.org/10.1002/ajpa.22646",Barks,etal,2014,Barks_etal_2014,Fig 4 A,10.1002/ajpa.22646,https://doi.org/10.1002/ajpa.22646,Barks,NA,NA
Barks_etal_2014_TABLE1,Barks et al. (2014) TABLE 1,Barks_etal_2014_TABLE1,"Barks, S. K., Calhoun, M. E., Hopkins, W. D., Cranfield, M. R., Mudakikwa, A., Stoinski, T. S., Patterson, F. G., Erwin, J. M., Hecht, E. E., Hof, P. R., & Sherwood, C. C. (2014). Brain organization of gorillas reflects species differences in ecology. Am J Phys Anthropol. https://doi.org/10.1002/ajpa.22646",Barks,etal,2014,Barks_etal_2014,TABLE 1,10.1002/ajpa.22646,https://doi.org/10.1002/ajpa.22646,Barks,NA,NA
Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,Bauernfeind_etal_2013_Table1,"Bauernfeind, A. L., de Sousa, A. A., Avasthi, T., Dobson, S. D., Raghanti, M. A., Lewandowski, A. H., Zilles, K., Semendeferi, K., Allman, J. M., Craig, A. D., Hof, P. R., & Sherwood, C. C. (2013). A volumetric comparison of the insular cortex and its subregions in primates. J Hum Evol, 64(4), 263-279. https://doi.org/10.1016/j.jhevol.2012.12.003",Bauernfeind,etal,2013,Bauernfeind_etal_2013,Table 1,10.1016/j.jhevol.2012.12.003,https://doi.org/10.1016/j.jhevol.2012.12.003,"Stephan, Sherwood",NA,NA
Bauernfeind_etal_2013_Table2,Bauernfeind et al. (2013) Table 2,Bauernfeind_etal_2013_Table2,"Bauernfeind, A. L., de Sousa, A. A., Avasthi, T., Dobson, S. D., Raghanti, M. A., Lewandowski, A. H., Zilles, K., Semendeferi, K., Allman, J. M., Craig, A. D., Hof, P. R., & Sherwood, C. C. (2013). A volumetric comparison of the insular cortex and its subregions in primates. J Hum Evol, 64(4), 263-279. https://doi.org/10.1016/j.jhevol.2012.12.003",Bauernfeind,etal,2013,Bauernfeind_etal_2013,Table 2,10.1016/j.jhevol.2012.12.003,https://doi.org/10.1016/j.jhevol.2012.12.003,"Stephan, Sherwood",NA,NA
Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,Bush_Allman_2004_a_Table2,"Bush, E. C., & Allman, J. M. (2004). The scaling of frontal cortex in primates and carnivores. Proc Natl Acad Sci U S A, 101(11), 3962-3966. https://doi.org/10.1073/pnas.0305760101",Bush,Allman,2004,Bush_Allman_2004_a,Table 2,10.1073/pnas.0305760101,https://doi.org/10.1073/pnas.0305760101,Allman,AFIP,NA
Bush_Allman_2004_b_TABLE1,Bush & Allman (2004) TABLE 1,Bush_Allman_2004_b_TABLE1,"Bush, E. C., & Allman, J. M. (2004). Three-dimensional structure and evolution of primate primary visual cortex. Anat Rec (Hoboken), 281(1), 1088-1094. https://doi.org/10.1002/ar.a.20114",Bush,Allman,2004,Bush_Allman_2004_b,TABLE 1,10.1002/ar.a.20114,https://doi.org/10.1002/ar.a.20114,Allman,AFIP,NA
deSousa_etal_2010_Table1,deSousa et al. (2010) Table 1,deSousa_etal_2010_Table1,"de Sousa, A. A., Sherwood, C. C., Mohlberg, H., Amunts, K., Schleicher, A., MacLeod, C. E., Hof, P. R., Frahm, H., & Zilles, K. (2010). Hominoid visual brain structure volumes and the position of the lunate sulcus. J Hum Evol, 58(4), 281-292. https://doi.org/10.1016/j.jhevol.2009.11.011",deSousa,etal,2010,deSousa_etal_2010,Table 1,10.1016/j.jhevol.2009.11.011,https://doi.org/10.1016/j.jhevol.2009.11.011,"Stephan, Zilles","Stephan, Zilles, AFIP, Sherwood, Hof",NA
Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,Frahm_etal_1984_Table1,"Frahm, H. D., Stephan, H., & Baron, G. (1984). Comparison of brain structure volumes in insectivora and primates. V. Area striata (AS). J Hirnforsch, 25(5), 537-557. https://www.ncbi.nlm.nih.gov/pubmed/6501869",Frahm,etal,1984,Frahm_etal_1984,Table 1,PMID:6501869,https://doi.org/PMID:6501869,Stephan,Stephan,NA
MacLeod_etal_2003_Table1,MacLeod et al. (2003) Table 1,MacLeod_etal_2003_Table1,"MacLeod, C. E., Zilles, K., Schleicher, A., Rilling, J. K., & Gibson, K. R. (2003). Expansion of the neocerebellum in Hominoidea. J Hum Evol, 44(4), 401-429. https://doi.org/10.1016/s0047-2484(03)00028-9",MacLeod,etal,2003,MacLeod_etal_2003,Table 1,10.1016/s0047-2484(03)00028-9,https://doi.org/10.1016/s0047-2484(03)00028-9,Rilling,Rilling,NA
MacLeod_etal_2003_Table2,MacLeod et al. (2003) Table 2,MacLeod_etal_2003_Table2,"MacLeod, C. E., Zilles, K., Schleicher, A., Rilling, J. K., & Gibson, K. R. (2003). Expansion of the neocerebellum in Hominoidea. J Hum Evol, 44(4), 401-429. https://doi.org/10.1016/s0047-2484(03)00028-9",MacLeod,etal,2003,MacLeod_etal_2003,Table 2,10.1016/s0047-2484(03)00028-9,https://doi.org/10.1016/s0047-2484(03)00028-9,"Stephan, Zilles","Stephan, Zilles",NA
Rilling_Insel_1998_Table1,Rilling & Insel (1998) Table 1,Rilling_Insel_1998_Table1,"Rilling, J. K., & Insel, T. R. (1998). Evolution of the cerebellum in primates: differences in relative volume among monkeys, apes and humans. Brain Behav Evol, 52(6), 308-314. https://doi.org/10.1159/000006575",Rilling,Insel,1998,Rilling_Insel_1998,Table 1,10.1159/000006575,https://doi.org/10.1159/000006575,Rilling,Rilling,NA
Rilling_Insel_1999_Table1,Rilling & Insel (1999) Table 1,Rilling_Insel_1999_Table1,"Rilling, J. K., & Insel, T. R. (1999). The primate neocortex in comparative perspective using magnetic resonance imaging. J Hum Evol, 37(2), 191-223. https://doi.org/10.1006/jhev.1999.0313",Rilling,Insel,1999,Rilling_Insel_1999,Table 1,10.1006/jhev.1999.0313,https://doi.org/10.1006/jhev.1999.0313,Rilling,Rilling,NA
Sherwood_etal_2004_TABLEI,Sherwood et al. (2004) TABLE I,Sherwood_etal_2004_TABLEI,"Sherwood, C. C., Cranfield, M. R., Mehlman, P. T., Lilly, A. A., Garbe, J. A., Whittier, C. A., Nutter, F. B., Rein, T. R., Bruner, H. J., Holloway, R. L., Tang, C. Y., Naidich, T. P., Delman, B. N., Steklis, H. D., Erwin, J. M., & Hof, P. R. (2004). Brain structure variation in great apes, with attention to the mountain gorilla (Gorilla beringei beringei). Am J Primatol, 63(3), 149-164. https://doi.org/10.1002/ajp.20048",Sherwood,etal,2004,Sherwood_etal_2004,TABLE I,10.1002/ajp.20048,https://doi.org/10.1002/ajp.20048,Sherwood,Hof,NA
Sherwood_etal_2005_Table1,Sherwood et al. (2005) Table 1,Sherwood_etal_2005_Table1,"Sherwood, C. C., Hof, P. R., Holloway, R. L., Semendeferi, K., Gannon, P. J., Frahm, H. D., & Zilles, K. (2005). Evolution of the brainstem orofacial motor system in primates: a comparative study of trigeminal, facial, and hypoglossal nuclei. J Hum Evol, 48(1), 45-84. https://doi.org/10.1016/j.jhevol.2004.10.003",Sherwood,etal,2005,Sherwood_etal_2005,Table 1,10.1016/j.jhevol.2004.10.003,https://doi.org/10.1016/j.jhevol.2004.10.003,Stephan,"Stephan, Zilles",NA
