Species,Variable,Source,Cited_as,DOI_or_ISBN,Team,Year,source_Value,merged_Value,pct_diff_from_merged,role,n_rows_in_source,Teams,n_teams,n_sources,Year_used
Ailurus fulgens,Neocortex_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,20070,20070,0,sole source,1,Bush,1,1,2004
Ailurus fulgens,Neocortex_grey_matter_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,13820,13820,0,sole source,1,Bush,1,1,2004
Ailurus fulgens,Neocortex_white_matter_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,6250,6250,0,sole source,1,Bush,1,1,2004
Ailurus fulgens,Total_brain_net_volume_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,36620,36620,0,sole source,1,Bush,1,1,2004
Alouatta caraya,Agranular_insular_cortex_Vol.mm3,NA,NA,NA,NA,NA,NA,84,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Zilles,1,NA,NA
Alouatta caraya,Agranular_insular_cortex_left_Vol.mm3,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Zilles,2013,42,42,0,sole source,1,Zilles,1,1,2013
Alouatta caraya,Body_Mass.g,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Zilles,2013,6420,6420,0,reference table used (mass rule: other sources not averaged in),1,Zilles,1,1,2013
Alouatta caraya,Brain_Mass.mg,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Zilles,2013,55.8,55.8,0,reference table used (mass rule: other sources not averaged in),1,Zilles,1,1,2013
Alouatta caraya,Dysgranular_insular_cortex_Vol.mm3,NA,NA,NA,NA,NA,NA,282,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Zilles,1,NA,NA
Alouatta caraya,Dysgranular_insular_cortex_left_Vol.mm3,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Zilles,2013,141,141,0,sole source,1,Zilles,1,1,2013
Alouatta caraya,Granular_insular_cortex_Vol.mm3,NA,NA,NA,NA,NA,NA,178,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Zilles,1,NA,NA
Alouatta caraya,Granular_insular_cortex_left_Vol.mm3,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Zilles,2013,89,89,0,sole source,1,Zilles,1,1,2013
Alouatta caraya,Insula_Vol.mm3,NA,NA,NA,NA,NA,NA,544,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Zilles,1,NA,NA
Alouatta caraya,Insula_left_Vol.mm3,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Zilles,2013,272,272,0,sole source,1,Zilles,1,1,2013
Alouatta caraya,Total_brain_net_volume_Vol.mm3,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Zilles,2013,53861,53861,0,sole source,1,Zilles,1,1,2013
Alouatta palliata,Area_striata_grey_matter_Vol.mm3,Bush_Allman_2004_b_TABLE1,Bush & Allman (2004) TABLE 1,10.1002/ar.a.20114,Bush,2004,1860,1860,0,sole source,1,Bush,1,1,2004
Alouatta palliata,Corpus_geniculatum_laterale_Vol.mm3,Bush_Allman_2004_b_TABLE1,Bush & Allman (2004) TABLE 1,10.1002/ar.a.20114,Bush,2004,90,90,0,sole source,1,Bush,1,1,2004
Alouatta palliata,Neocortex_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,28560,28560,0,sole source,1,Bush,1,1,2004
Alouatta palliata,Neocortex_grey_matter_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,17150,17150,0,averaged into the merged value,1,Bush,1,2,2004
Alouatta palliata,Neocortex_grey_matter_Vol.mm3,Bush_Allman_2004_b_TABLE1,Bush & Allman (2004) TABLE 1,10.1002/ar.a.20114,Bush,2004,17150,17150,0,averaged into the merged value,1,Bush,1,2,2004
Alouatta palliata,Neocortex_white_matter_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,11410,11410,0,averaged into the merged value,1,Bush,1,2,2004
Alouatta palliata,Neocortex_white_matter_Vol.mm3,Bush_Allman_2004_b_TABLE1,Bush & Allman (2004) TABLE 1,10.1002/ar.a.20114,Bush,2004,11410,11410,0,averaged into the merged value,1,Bush,1,2,2004
Alouatta palliata,Total_brain_net_volume_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,43520,43520,0,averaged into the merged value,1,Bush,1,2,2004
Alouatta palliata,Total_brain_net_volume_Vol.mm3,Bush_Allman_2004_b_TABLE1,Bush & Allman (2004) TABLE 1,10.1002/ar.a.20114,Bush,2004,43520,43520,0,averaged into the merged value,1,Bush,1,2,2004
Alouatta seniculus,Amygdala_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,413,413,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Area_striata_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,2461,2461,0,sole source,1,Stephan_collection,1,1,1984
Alouatta seniculus,Area_striata_grey_matter_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,1918,1918,0,sole source,1,Stephan_collection,1,1,1984
Alouatta seniculus,Area_striata_lamina_1_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,220,220,0,sole source,1,Stephan_collection,1,1,1984
Alouatta seniculus,Area_striata_laminae_2_6_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,1698,1698,0,sole source,1,Stephan_collection,1,1,1984
Alouatta seniculus,Area_striata_white_matter_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,543,543,0,sole source,1,Stephan_collection,1,1,1984
Alouatta seniculus,Body_Mass.g,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,6400,6400,0,reference table used (mass rule: other sources not averaged in),1,Stephan_collection,1,1,1981
Alouatta seniculus,Brain_Mass.mg,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,52000,52000,0,reference table used (mass rule: other sources not averaged in),1,Stephan_collection,1,1,1981
Alouatta seniculus,Bulbus_olfactorius_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,41.4,41.4,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Bulbus_olfactorius_accessorius_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,0.595,0.595,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,CerebellarHemisphere_Vol.mm3,MacLeod_etal_2003_Table2,MacLeod et al. (2003) Table 2,10.1016/s0047-2484(03)00028-9,Zilles,2003,2700,2700,0,sole source,1,Zilles,1,1,2003
Alouatta seniculus,CerebellarVermis_Vol.mm3,MacLeod_etal_2003_Table2,MacLeod et al. (2003) Table 2,10.1016/s0047-2484(03)00028-9,Zilles,2003,1450,1450,0,sole source,1,Zilles,1,1,2003
Alouatta seniculus,Cerebellum_Vol.mm3,MacLeod_etal_2003_Table2,MacLeod et al. (2003) Table 2,10.1016/s0047-2484(03)00028-9,Zilles,2003,4150,4924.5,-15.73,averaged into the merged value,1,Stephan_collection; Zilles,2,2,2003
Alouatta seniculus,Cerebellum_Vol.mm3,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,5699,4924.5,15.73,averaged into the merged value,1,Stephan_collection; Zilles,2,2,2003
Alouatta seniculus,Complexus_centromedialis_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,94.9,94.9,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Complexus_corticobasolateralis_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,318,318,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Corpus_geniculatum_laterale_Vol.mm3,Stephan_etal_1981_TableIX,Stephan et al. (1981) Table IX,10.1159/000155963,Stephan_collection,1981,85.7,85.7,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Corpus_pineal_Vol.mm3,Stephan_etal_1981_TableXVI,Stephan et al. (1981) Table XVI,10.1159/000155963,Stephan_collection,1981,0.254,0.254,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Corpus_subcommissurale_Vol.mm3,Stephan_etal_1981_TableXVI,Stephan et al. (1981) Table XVI,10.1159/000155963,Stephan_collection,1981,0.402,0.402,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Corpus_subfornicale_Vol.mm3,Stephan_etal_1981_TableXVI,Stephan et al. (1981) Table XVI,10.1159/000155963,Stephan_collection,1981,0.372,0.372,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Diencephalon_Vol.mm3,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,3344,3344,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Facial_motor_nucleus_Vol.mm3,NA,NA,NA,NA,NA,NA,3.46,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Sherwood,1,NA,NA
Alouatta seniculus,Facial_motor_nucleus_left_Vol.mm3,Sherwood_etal_2005_Table1,Sherwood et al. (2005) Table 1,10.1016/j.jhevol.2004.10.003,Sherwood,2005,1.73,1.73,0,sole source,1,Sherwood,1,1,2005
Alouatta seniculus,Hippocampus_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,1320,1320,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Hypoglossal_nucleus_Vol.mm3,NA,NA,NA,NA,NA,NA,3.24,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Sherwood,1,NA,NA
Alouatta seniculus,Hypoglossal_nucleus_left_Vol.mm3,Sherwood_etal_2005_Table1,Sherwood et al. (2005) Table 1,10.1016/j.jhevol.2004.10.003,Sherwood,2005,1.62,1.62,0,sole source,1,Sherwood,1,1,2005
Alouatta seniculus,Lobus_piriformis_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,827,827,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Medulla_oblongata_Vol.mm3,Sherwood_etal_2005_Table1,Sherwood et al. (2005) Table 1,10.1016/j.jhevol.2004.10.003,Sherwood,2005,1593.25,1593.125,0.01,averaged into the merged value,1,Sherwood; Stephan_collection,2,2,2005
Alouatta seniculus,Medulla_oblongata_Vol.mm3,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,1593,1593.125,-0.01,averaged into the merged value,1,Sherwood; Stephan_collection,2,2,2005
Alouatta seniculus,Mesencephalon_Vol.mm3,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,986,986,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Neocortex_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,31660,31660,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,30.7,30.7,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Nucleus_habenularis_medialis_Vol.mm3,Stephan_etal_1981_TableXVI,Stephan et al. (1981) Table XVI,10.1159/000155963,Stephan_collection,1981,3.3,3.3,0,sole source,1,Stephan_collection,1,1,1981
