"file","Species_raw","Species_final","name_source","n_sources","sources"
"volumes_source_species_ids_DeCasien","Avahi laniger","Avahi laniger","NCBI",1,"Stephan_etal_1970_Tables1-6"
"volumes_source_species_ids_DeCasien","Avahi laniger","Avahi occidentalis","curated",1,"Bauernfeind_etal_2013_Table1"
"volumes_source_species_ids_DeCasien","Cebus sp.","Cebus albifrons","curated",2,"Frahm_etal_1984_Table1; Stephan_etal_1981_TablesI-VI"
"volumes_source_species_ids_DeCasien","Cebus sp.","Cebus sp.","NCBI",2,"MacLeod_etal_2003_Table2; Stephan_etal_1970_Tables1-6"
"volumes_source_species_ids_DeCasien","Crocidura occidentalis","Crocidura flavescens","curated",1,"Stephan_etal_1981_TablesI-VI"
"volumes_source_species_ids_DeCasien","Crocidura occidentalis","Crocidura olivieri","NCBI",1,"Stephan_etal_1970_Tables1-6"
"volumes_source_species_ids_DeCasien","Gorilla gorilla","Gorilla gorilla","NCBI",3,"Barger_etal_2014_Table1; MacLeod_etal_2003_; Stephan_etal_1970_Tables1-6"
"volumes_source_species_ids_DeCasien","Gorilla gorilla","Gorilla sp.","curated",13,"Barger_etal_2007_TABLE1; Barks_etal_2014_Fig4A; Barks_etal_2014_TABLE1; Bauernfeind_etal_2013_Table1; Bauernfeind_etal_2013_Table2; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; MacLeod_etal_2003_Table2; Rilling_Insel_1998_Table1; Rilling_Insel_1999_Table1; Sherwood_etal_2004_TABLEI; Sherwood_etal_2005_Table1; Stephan_etal_1981_TablesI-VI"
"volumes_source_species_ids_DeCasien","Pongo pygmaeus","Pongo pygmaeus","NCBI",2,"Barger_etal_2014_Table1; MacLeod_etal_2003_"
"volumes_source_species_ids_DeCasien","Pongo pygmaeus","Pongo sp.","curated",7,"Barger_etal_2007_TABLE1; deSousa_etal_2010_Table1; MacLeod_etal_2003_Table2; Rilling_Insel_1998_Table1; Rilling_Insel_1999_Table1; Sherwood_etal_2004_TABLEI; Sherwood_etal_2005_Table1"
"volumes_source_species_ids_DeCasien","Rhynchocyon stuhlmanni","Rhynchocyon cirnei","curated",1,"Stephan_etal_1981_TablesI-VI"
"volumes_source_species_ids_DeCasien","Rhynchocyon stuhlmanni","Rhynchocyon stuhlmanni","NCBI",1,"Stephan_etal_1970_Tables1-6"
"volumes_source_species_ids_DeCasien","Tarsius syrichta","Carlito syrichta","NCBI",2,"Bush_Allman_2004_b_TABLE1; Stephan_etal_1970_Tables1-6"
"volumes_source_species_ids_DeCasien","Tarsius syrichta","Tarsius sp.","curated",1,"Sherwood_etal_2005_Table1"
"volumes_source_species_ids_select","Cebus sp.","Cebus albifrons","curated",9,"Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI"
