Species_Name,n_sources,Sources
Ailurus fulgens,1,Bush_Allman_2004_a_Table2
Alouatta caraya,1,Bauernfeind_etal_2013_Table1
Alouatta palliata,2,Bush_Allman_2004_a_Table2; Bush_Allman_2004_b_TABLE1
Alouatta seniculus,10,Frahm_etal_1984_Table1; MacLeod_etal_2003_Table2; Sherwood_etal_2005_Table1; Stephan_etal_1970_Table3; Stephan_etal_1970_Table6; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXVI
Aotus trivirgatus,12,Bush_Allman_2004_a_Table2; Bush_Allman_2004_b_TABLE1; Frahm_etal_1984_Table1; MacLeod_etal_2003_Table2; Sherwood_etal_2005_Table1; Stephan_etal_1970_Table3; Stephan_etal_1970_Table6; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXVI
Aplodontia rufa,1,Bush_Allman_2004_a_Table2
Atelerix algirus,5,Stephan_etal_1970_Table1; Stephan_etal_1970_Table4; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Ateles geoffroyi,11,Bauernfeind_etal_2013_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Table3; Stephan_etal_1970_Table6; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI
Ateles paniscus,1,MacLeod_etal_2003_Table2
Ateles sp.,2,Bush_Allman_2004_a_Table2; Bush_Allman_2004_b_TABLE1
Avahi laniger,8,Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Table2; Stephan_etal_1970_Table5; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableXV
Avahi occidentalis,9,Bauernfeind_etal_2013_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXV
Callicebus moloch,8,Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Table3; Stephan_etal_1970_Table6; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXVI
Callicebus sp.,2,Bush_Allman_2004_a_Table2; Bush_Allman_2004_b_TABLE1
