Species_Name,n_sources,Sources
Alouatta caraya,1,Bauernfeind_etal_2013_Table1
Alouatta seniculus,15,Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; MacLeod_etal_2003_Table2; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Aotus trivirgatus,13,Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; MacLeod_etal_2003_Table2; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Ateles geoffroyi,15,Bauernfeind_etal_2013_Table1; Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Ateles paniscus,1,MacLeod_etal_2003_Table2
Avahi laniger,10,Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableXV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Avahi occidentalis,14,Bauernfeind_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Callicebus moloch,10,Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Callimico goeldii,3,Stephan_etal_1981_TableIII; Stephan_etal_1981_TableVI; Stephan_etal_1988_TABLE1
Callithrix jacchus,12,Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Callithrix pygmaea,10,Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1988_TABLE1
Cebuella pygmaea,1,Bauernfeind_etal_2013_Table1
Cebus albifrons,17,Bauernfeind_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Cebus sp.,1,MacLeod_etal_2003_Table2
Cercocebus agilis,1,Bauernfeind_etal_2013_Table1
Cercocebus torquatus,1,MacLeod_etal_2003_Table1
Cercopithecus ascanius,17,deSousa_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Cercopithecus mitis,14,Bauernfeind_etal_2013_Table1; deSousa_etal_2013_Table1; Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Cercopithecus sp.,1,MacLeod_etal_2003_Table2
Cheirogaleus major,13,Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Cheirogaleus medius,11,Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Colobus angolensis,2,Bauernfeind_etal_2013_Table1; deSousa_etal_2013_Table1
Daubentonia madagascariensis,12,Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Erythrocebus patas,10,deSousa_etal_2013_Table1; MacLeod_etal_2003_Table2; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableVI; Stephan_etal_1988_TABLE1
Eulemur fulvus,14,Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Galago senegalensis,10,Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableXV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Galagoides demidoff,15,Bauernfeind_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Gorilla sp.,20,Bauernfeind_etal_2013_Table1; Bauernfeind_etal_2013_Table2; deSousa_etal_2010_Table1; deSousa_etal_2013_Table1; Frahm_etal_1984_Table1; MacLeod_etal_2003_Table1; MacLeod_etal_2003_Table2; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Homo sapiens,22,Bauernfeind_etal_2013_Table1; Bauernfeind_etal_2013_Table2; deSousa_etal_2010_Table1; deSousa_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; MacLeod_etal_2003_Table1; MacLeod_etal_2003_Table2; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Hylobates lar,18,Bauernfeind_etal_2013_Table1; deSousa_etal_2010_Table1; deSousa_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; MacLeod_etal_2003_Table1; MacLeod_etal_2003_Table2; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Hylobates muelleri,2,Bauernfeind_etal_2013_Table1; deSousa_etal_2013_Table1
Indri indri,12,Bauernfeind_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableXV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Lagothrix lagothricha,15,Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Leontopithecus rosalia,1,Bauernfeind_etal_2013_Table1
Lepilemur ruficaudatus,14,Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Lophocebus albigena,17,Bauernfeind_etal_2013_Table1; deSousa_etal_2013_Table1; Frahm_etal_1984_Table1; MacLeod_etal_2003_Table2; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
