Species,Agranular_insular_cortex_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Dysgranular_insular_cortex_Vol.mm3,Dysgranular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Insula_Vol.mm3,Insula_left_Vol.mm3,Total_brain_net_volume_Vol.mm3,Amygdala_Vol.mm3,Area_striata_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Complexus_vestibularis_Vol.mm3,Complexus_vestibularis_unilateral_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalMotor_grey_matter_Vol.mm3,FrontalMotor_white_matter_Vol.mm3,Hippocampus_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Neocortex_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Neocortex_white_matter_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Nucleus_vestibularis_superior_unilateral_Vol.mm3,Palaeocortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Telencephalon_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,Capsula_interna_Vol.mm3,Epithalamus_Vol.mm3,Hypothalamus_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Pallidum_Vol.mm3,Subthalamus_Vol.mm3,Thalamus_Vol.mm3,Tractus_opticus_Vol.mm3,Agranular_insular_cortex_right_Vol.mm3,Area_striata_grey_matter_left_Vol.mm3,Corpus_geniculatum_laterale_left_Vol.mm3,Dysgranular_insular_cortex_right_Vol.mm3,Granular_insular_cortex_right_Vol.mm3,Insula_right_Vol.mm3,fronto_insular_cortex_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,fronto_insular_cortex_right_Vol.mm3,EntorhinalCortex_Vol.mm3,Pons_Vol.mm3,Prepiriform_cortex_Vol.mm3
Alouatta caraya,84,42,6420,55.8,282,141,178,89,544,272,53861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,NA,NA,6400,52000,NA,NA,NA,NA,NA,NA,37400,413,2461,1918,220,1698,543,41.4,0.595,2700,1450,113.79,4150,94.9,318,91.8,45.9,87.4,0.254,0.402,0.372,3344,5510,1077,866,1320,26.57,59.75,827,27.47,1593,986,31660,21791,2918,18874,9869,30.7,3.3,1.72,0,22.4,11.2,18.54,9.27,32.6,16.3,18.18,9.09,488,510,200,2829,37388,394.3,616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus trivirgatus,NA,NA,830,17100,NA,NA,NA,NA,NA,NA,19125,201,1203,996,113,883,207,56,0.222,950,900,41.45,1750,54.5,147,56.2,28.1,32.9,1.55,0.14,0.162,1098,NA,NA,NA,539,11.42,17.02,394,13.01,686,409,9950,7776,1039,6737,2174,15.7,3.21,0.964,0.201,11.62,5.81,10.28,5.14,22.2,11.1,12.14,6.07,203,243,83.8,862,12128,112.1,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ateles geoffroyi,270,135,8000,108000,362,181,200,100,832,416,102700,NA,4738,3753,NA,NA,985,90.4,2.19,NA,NA,209.17,12438,NA,NA,99.4,49.7,151,3.1,0.608,0.443,5334,16010,3119,1586,1366,59.75,114.79,1625,34.63,1834,1482,70856,NA,NA,NA,NA,NA,7.29,3.18,NA,23.8,11.9,13.62,6.81,47.6,23.8,14.4,7.2,NA,732,324,4950,79946,813.3,1389,570,30.5,629,52.8,807,860,2930,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ateles paniscus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90700,NA,NA,NA,NA,NA,NA,NA,NA,7300,3033.33333333333,NA,10366.6666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avahi laniger,NA,NA,1285,10490,NA,NA,NA,NA,NA,NA,9798,NA,542,475,NA,NA,66.5,89.2,3.01,NA,NA,37.89,1489,NA,NA,47.4,23.7,27.6,0.7,0.14,0.116,862,NA,NA,NA,526,11.28,14.46,284,12.15,553,343,4813,NA,NA,NA,NA,NA,2.21,1.29,NA,10.38,5.19,10.04,5.02,18.42,9.21,8.54,4.27,NA,241,69.7,524,6550,60.9,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avahi occidentalis,14,7,860,9670,36,18,26,13,76,38,9256.8,NA,527,450,64.6,385,77.2,70.1,2.55,NA,NA,29.66,1383,NA,NA,36.2,18.1,29.3,0.652,0.0942,0.188,861,NA,NA,NA,476,10.18,11.3,265,8.18,508,345,4443,3666,582.7,3083,777,NA,2.04,0.988,NA,9.62,4.81,6.64,3.32,13.72,6.86,6.2,3.1,NA,222,69.3,478,6026,60.3,73.7,105,6.52,137,5.94,74.5,80.5,489,38.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callicebus moloch,NA,NA,900,19000,NA,NA,NA,NA,NA,NA,17944,NA,1524,1201,NA,NA,324,19.2,0.325,NA,NA,61.41,1622,NA,NA,66.2,33.1,54.2,2.9,0.154,0.135,1375,NA,NA,NA,588,19.47,21.24,454,20.7,787,530,11163,NA,NA,NA,NA,NA,2.66,0.89,NA,17.04,8.52,10.58,5.29,26.2,13.1,12.34,6.17,NA,234,86.4,920,13465,105.9,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callimico goeldii,NA,NA,480,11000,NA,NA,NA,NA,NA,NA,10510,NA,NA,NA,NA,NA,NA,27,0.512,NA,NA,NA,1240,NA,NA,NA,NA,NA,NA,NA,NA,739,NA,NA,NA,281,NA,NA,253,NA,460,340,6476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,63.5,493,7733,NA,47.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callithrix jacchus,NA,NA,280,7600,NA,NA,NA,NA,NA,NA,7241,113,685,566,57.8,508,119,22.8,0.326,NA,NA,20.96,757,28.3,84.6,30.4,15.2,25.1,0.486,0.0789,0.133,554,NA,NA,NA,221,5.44,7.93,191,7.59,318,295,4371,3564,441.8,3122,807.1,8.57,1.63,0.44,0.195,5.2,2.6,8.14,4.07,11.6,5.8,5.38,2.69,99.3,90,49.8,372,5318,38.8,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
