Species,species_as_published,canonical_structure,structure_as_published,mass_mg,mass_g,mass_se_mg,n,sex,unit_original,conversion_factor_to_mg,role,derivation,source,citation,mapping_gap
Canis lupus familiaris,dog,OlfactoryBulb,Olfactory bulbs,1542.0,1.542,17.0,162.0,male,mg,1,primary,measured,Latimer__1942_Table1_brain.csv,Latimer (1942),
Canis lupus familiaris,dog,,Hemispheres and dien.,61975.0,61.975,480.0,162.0,male,mg,1,primary,measured,Latimer__1942_Table1_brain.csv,Latimer (1942),no canonical structure yet for 'Hemispheres and dien.'
Canis lupus familiaris,dog,,Prosencephalon,63517.0,63.517,492.0,162.0,male,mg,1,primary,measured,Latimer__1942_Table1_brain.csv,Latimer (1942),no canonical structure yet for 'Prosencephalon'
Canis lupus familiaris,dog,Mesencephalon,Mesencephalon,2045.0,2.045,18.0,162.0,male,mg,1,primary,measured,Latimer__1942_Table1_brain.csv,Latimer (1942),
Canis lupus familiaris,dog,Cerebellum,Cerebellum,7369.0,7.369,61.0,162.0,male,mg,1,primary,measured,Latimer__1942_Table1_brain.csv,Latimer (1942),
Canis lupus familiaris,dog,Medulla,Medulla,3986.0,3.986,36.0,162.0,male,mg,1,primary,measured,Latimer__1942_Table1_brain.csv,Latimer (1942),
Canis lupus familiaris,dog,,Rhombencephalon,11355.0,11.355,91.0,162.0,male,mg,1,primary,measured,Latimer__1942_Table1_brain.csv,Latimer (1942),no canonical structure yet for 'Rhombencephalon'
Canis lupus familiaris,dog,OlfactoryBulb,Olfactory bulbs,1473.0,1.473,18.0,159.0,female,mg,1,primary,measured,Latimer__1942_Table1_brain.csv,Latimer (1942),
Canis lupus familiaris,dog,,Hemispheres and dien.,58967.0,58.967,477.0,159.0,female,mg,1,primary,measured,Latimer__1942_Table1_brain.csv,Latimer (1942),no canonical structure yet for 'Hemispheres and dien.'
Canis lupus familiaris,dog,,Prosencephalon,60438.0,60.438,491.0,159.0,female,mg,1,primary,measured,Latimer__1942_Table1_brain.csv,Latimer (1942),no canonical structure yet for 'Prosencephalon'
Canis lupus familiaris,dog,Mesencephalon,Mesencephalon,1915.0,1.915,14.0,159.0,female,mg,1,primary,measured,Latimer__1942_Table1_brain.csv,Latimer (1942),
Canis lupus familiaris,dog,Cerebellum,Cerebellum,6954.0,6.954,53.0,159.0,female,mg,1,primary,measured,Latimer__1942_Table1_brain.csv,Latimer (1942),
Canis lupus familiaris,dog,Medulla,Medulla,3691.0,3.691,35.0,159.0,female,mg,1,primary,measured,Latimer__1942_Table1_brain.csv,Latimer (1942),
Canis lupus familiaris,dog,,Rhombencephalon,10645.0,10.645,83.0,159.0,female,mg,1,primary,measured,Latimer__1942_Table1_brain.csv,Latimer (1942),no canonical structure yet for 'Rhombencephalon'
Sorex fumeus,Sorex fumeus,CerebralCortex,Cerebral cortex,84.0,0.084,9.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Mus musculus,Mus musculus,CerebralCortex,Cerebral cortex,173.0,0.173,15.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Blarina brevicauda,Blarina brevicauda,CerebralCortex,Cerebral cortex,197.0,0.197,12.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Heterocephalus glaber,Heterocephalus glaber,CerebralCortex,Cerebral cortex,184.0,0.184,26.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Condylura cristata,Condylura cristata,CerebralCortex,Cerebral cortex,420.0,0.42,24.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Parascalops breweri,Parascalops breweri,CerebralCortex,Cerebral cortex,429.0,0.429,19.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Amblysomus hottentotus,Amblysomus hottentotus,CerebralCortex,Cerebral cortex,439.0,0.439,35.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Scalopus aquaticus,Scalopus aquaticus,CerebralCortex,Cerebral cortex,476.0,0.476,32.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Elephantulus myurus,Elephantulus myurus,CerebralCortex,Cerebral cortex,471.0,0.471,21.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Mesocricetus auratus,Mesocricetus auratus,CerebralCortex,Cerebral cortex,446.0,0.446,48.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Rattus norvegicus,Rattus norvegicus,CerebralCortex,Cerebral cortex,769.0,0.769,113.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Microcebus murinus,Microcebus murinus,CerebralCortex,Cerebral cortex,908.0,0.908,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Proechimys guyannensis,Proechimys cayennensis,CerebralCortex,Cerebral cortex,924.0,0.924,50.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Petrodromus tetradactylus,Petrodromus tetradactylus,CerebralCortex,Cerebral cortex,1239.0,1.239,59.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Tupaia glis,Tupaia glis,CerebralCortex,Cerebral cortex,1455.0,1.455,174.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Cavia porcellus,Cavia porcellus,CerebralCortex,Cerebral cortex,1938.0,1.938,231.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
,Cynomys sp.,CerebralCortex,Cerebral cortex,2586.0,2.586,109.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Sciurus carolinensis,Sciurus carolinensis,CerebralCortex,Cerebral cortex,2730.0,2.73,178.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Oryctolagus cuniculus,Oryctolagus cuniculus,CerebralCortex,Cerebral cortex,4448.0,4.448,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Callithrix jacchus,Callithrix jacchus,CerebralCortex,Cerebral cortex,5561.0,5.561,443.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Otolemur garnettii,Otolemur garnettii,CerebralCortex,Cerebral cortex,6290.0,6.29,863.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Dendrohyrax dorsalis,Dendrohyrax dorsalis,CerebralCortex,Cerebral cortex,7560.0,7.56,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
,Dasyprocta prymnolopha,CerebralCortex,Cerebral cortex,8913.0,8.913,1214.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Procavia capensis,Procavia capensis,CerebralCortex,Cerebral cortex,10478.0,10.478,646.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Aotus trivirgatus,Aotus trivirgatus,CerebralCortex,Cerebral cortex,10617.0,10.617,610.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Callimico goeldii,Callimico goeldii,CerebralCortex,Cerebral cortex,12984.0,12.984,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Saimiri sciureus,Saimiri sciureus,CerebralCortex,Cerebral cortex,20652.0,20.652,368.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Macaca fascicularis,Macaca fascicularis,CerebralCortex,Cerebral cortex,36226.0,36.226,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Sapajus apella,Cebus apella,CerebralCortex,Cerebral cortex,39178.0,39.178,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Macaca radiata,Macaca radiata,CerebralCortex,Cerebral cortex,48274.0,48.274,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Sus scrofa domesticus,Sus scrofa domesticus,CerebralCortex,Cerebral cortex,42404.0,42.404,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Hydrochoerus hydrochaeris,Hydrochoerus hydrochaeris,CerebralCortex,Cerebral cortex,48175.0,48.175,2714.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Antidorcas marsupialis,Antidorcas marsupialis,CerebralCortex,Cerebral cortex,68806.0,68.806,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Macaca mulatta,Macaca mulatta,CerebralCortex,Cerebral cortex,69832.0,69.832,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Damaliscus pygargus phillipsi,Damaliscus dorcas phillipsi,CerebralCortex,Cerebral cortex,111310.0,111.31,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Papio cynocephalus,Papio anubis cynocephalus,CerebralCortex,Cerebral cortex,120214.0,120.214,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Tragelaphus strepsiceros,Tragelaphus strepsiceros,CerebralCortex,Cerebral cortex,213370.0,213.37,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Giraffa camelopardalis,Giraffa camelopardalis,CerebralCortex,Cerebral cortex,398808.0,398.808,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Homo sapiens,Homo sapiens,CerebralCortex,Cerebral cortex,1232930.0,1232.93,233680.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Loxodonta africana,Loxodonta africana,CerebralCortex,Cerebral cortex,2847594.0,2847.594,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table1.csv,Herculano-Houzel et al. (2015),
Sorex fumeus,Sorex fumeus,Cerebellum,Cerebellum,20.0,0.02,2.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Blarina brevicauda,Blarina brevicauda,Cerebellum,Cerebellum,37.0,0.037,5.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Heterocephalus glaber,Heterocephalus glaber,Cerebellum,Cerebellum,48.0,0.048,4.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Mus musculus,Mus musculus,Cerebellum,Cerebellum,56.0,0.056,5.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Amblysomus hottentotus,Amblysomus hottentotus,Cerebellum,Cerebellum,84.0,0.084,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Parascalops breweri,Parascalops breweri,Cerebellum,Cerebellum,102.0,0.102,5.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Condylura cristata,Condylura cristata,Cerebellum,Cerebellum,138.0,0.138,12.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Mesocricetus auratus,Mesocricetus auratus,Cerebellum,Cerebellum,145.0,0.145,30.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Scalopus aquaticus,Scalopus aquaticus,Cerebellum,Cerebellum,153.0,0.153,8.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Elephantulus myurus,Elephantulus myurus,Cerebellum,Cerebellum,168.0,0.168,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Rattus norvegicus,Rattus norvegicus,Cerebellum,Cerebellum,272.0,0.272,38.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Petrodromus tetradactylus,Petrodromus tetradactylus,Cerebellum,Cerebellum,304.0,0.304,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Tupaia glis,Tupaia glis,Cerebellum,Cerebellum,326.0,0.326,18.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Proechimys guyannensis,Proechimys cayennensis,Cerebellum,Cerebellum,330.0,0.33,26.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Microcebus murinus,Microcebus murinus,Cerebellum,Cerebellum,391.0,0.391,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Cavia porcellus,Cavia porcellus,Cerebellum,Cerebellum,500.0,0.5,77.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Callithrix jacchus,Callithrix jacchus,Cerebellum,Cerebellum,730.0,0.73,39.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
,Cynomys sp.,Cerebellum,Cerebellum,789.0,0.789,93.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Sciurus carolinensis,Sciurus carolinensis,Cerebellum,Cerebellum,874.0,0.874,69.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Otolemur garnettii,Otolemur garnettii,Cerebellum,Cerebellum,1196.0,1.196,105.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Oryctolagus cuniculus,Oryctolagus cuniculus,Cerebellum,Cerebellum,1412.0,1.412,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Aotus trivirgatus,Aotus trivirgatus,Cerebellum,Cerebellum,1732.0,1.732,218.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Dendrohyrax dorsalis,Dendrohyrax dorsalis,Cerebellum,Cerebellum,1918.0,1.918,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Procavia capensis,Procavia capensis,Cerebellum,Cerebellum,2058.0,2.058,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
,Dasyprocta prymnolopha,Cerebellum,Cerebellum,2742.0,2.742,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Saimiri sciureus,Saimiri sciureus,Cerebellum,Cerebellum,4300.0,4.3,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Sapajus apella,Cebus apella,Cerebellum,Cerebellum,4600.0,4.6,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Macaca fascicularis,Macaca fascicularis,Cerebellum,Cerebellum,5642.0,5.642,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Macaca radiata,Macaca radiata,Cerebellum,Cerebellum,5748.0,5.748,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Hydrochoerus hydrochaeris,Hydrochoerus hydrochaeris,Cerebellum,Cerebellum,6632.0,6.632,1312.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Macaca mulatta,Macaca mulatta,Cerebellum,Cerebellum,7694.0,7.694,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Sus scrofa domesticus,Sus scrofa domesticus,Cerebellum,Cerebellum,8128.0,8.128,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Antidorcas marsupialis,Antidorcas marsupialis,Cerebellum,Cerebellum,11458.0,11.458,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Damaliscus pygargus phillipsi,Damaliscus dorcas phillipsi,Cerebellum,Cerebellum,13402.0,13.402,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
Papio cynocephalus,Papio anubis cynocephalus,Cerebellum,Cerebellum,13745.0,13.745,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table2.csv,Herculano-Houzel et al. (2015),
