"script","associated_data_file","associated_data_filename","match_type","exact_filename_match","stem_match","matched_line_numbers","context"
"__energetics_comparison/energetics_comparison.R","__energetics_comparison/energetics_long.csv","energetics_long.csv","likely writer",TRUE,TRUE,"61;73;99","60: energetics <- bind_rows(heiss, kauf) %>% arrange(measure, species, region) | 61: write_csv(energetics, file.path(outdir, ""energetics_long.csv"")) | 62:  || 72:   ""Common measures across the energetics papers: **CMRgl** (glucose), **CMRO2** (oxygen), **CBF** (blood flow)."", | 73:   ""Output: `energetics_long.csv` (schema: reference, species, region, measure, value, units, weighting)."", | 74:   """", || 98: writeLines(findings, file.path(outdir, ""ENERGETICS_FINDINGS.md"")) | 99: message(""energetics_long.csv rows: "", nrow(energetics), | 100:         "" | refs: "", paste(unique(energetics$reference), collapse="",""))"
"__energetics_comparison/energetics_merged.R","__energetics_comparison/energetics_merged_long.csv","energetics_merged_long.csv","likely writer",TRUE,TRUE,"117;141","116:   arrange(Species, Region, Measure) | 117: write_csv(merged_long, ""energetics_merged_long.csv"") | 118:  || 140:   """", | 141:   ""## Schema (`energetics_merged_long.csv`)"", | 142:   ""`Species, Region, Measure, Units, Value, Teams, n_teams, Volume_term`"","
"__energetics_comparison/energetics_merged.R","__energetics_comparison/energetics_merged_wide.csv","energetics_merged_wide.csv","likely writer",TRUE,TRUE,"125","124:   arrange(Species) | 125: write_csv(merged_wide, ""energetics_merged_wide.csv"") | 126: "
"__energetics_comparison/energetics_merged.R","__Public/comparative-data/NA.tsv","NA.tsv","likely writer",FALSE,TRUE,"115;145","114:             .groups  = ""drop"") %>% | 115:   mutate(Volume_term = ifelse(Region %in% names(volume_term), volume_term[Region], NA_character_)) %>% | 116:   arrange(Species, Region, Measure) || 144:   ""- `Region` is a canonical label (Heiss/Kaufman synonyms harmonized); `Volume_term` links to the"", | 145:   ""  matching `*_Vol.mm3` term in the volume merge where a clean single counterpart exists (else NA)."", | 146:   """","
"__flow_comparison/Seymour_Boyer_flow_combined.R","__flow_comparison/Seymour_Boyer_flow_combined.csv","Seymour_Boyer_flow_combined.csv","likely writer",TRUE,TRUE,"1;19;107","1: # Seymour_Boyer_flow_combined.R | 2: # || 18: # Outputs (this folder) | 19: #   Seymour_Boyer_flow_combined.csv       union, 96 species | 20: #   Seymour_Boyer_QICA_crosscheck.csv     the 17 overlap species || 106:  | 107: write_csv(combined, file.path(.here, ""Seymour_Boyer_flow_combined.csv"")) | 108: "
"__flow_comparison/Seymour_Boyer_flow_combined.R","__flow_comparison/Seymour_Boyer_QICA_crosscheck.csv","Seymour_Boyer_QICA_crosscheck.csv","likely writer",TRUE,TRUE,"20;117","19: #   Seymour_Boyer_flow_combined.csv       union, 96 species | 20: #   Seymour_Boyer_QICA_crosscheck.csv     the 17 overlap species | 21: # || 116:             Sey_QICA_vs_Boy_QTOT_ratio = round(Sey_QICA_mLs / Boy_QTOT_mLs, 3)) | 117: write_csv(crosscheck, file.path(.here, ""Seymour_Boyer_QICA_crosscheck.csv"")) | 118: "
"__merging_behaviour/behaviour_compiled.R","__merging_behaviour/behaviour_long.csv","behaviour_long.csv","likely writer",TRUE,TRUE,"23;140","22: ## | 23: ## Outputs: behaviour_long.csv (keyed merge, app-facing), behaviour_observations_long.csv (raw | 24: ## per-source rows), behaviour_wide.csv (one row per species overview). || 139:   ungroup() |> relocate(Species) |> arrange(Species, Measure) | 140: readr::write_csv(long, ""behaviour_long.csv"") | 141: "
"__merging_behaviour/behaviour_compiled.R","__ShinyApp/data/behaviour_long.csv","behaviour_long.csv","likely writer",TRUE,TRUE,"23;140","22: ## | 23: ## Outputs: behaviour_long.csv (keyed merge, app-facing), behaviour_observations_long.csv (raw | 24: ## per-source rows), behaviour_wide.csv (one row per species overview). || 139:   ungroup() |> relocate(Species) |> arrange(Species, Measure) | 140: readr::write_csv(long, ""behaviour_long.csv"") | 141: "
"__merging_behaviour/behaviour_compiled.R","__merging_behaviour/behaviour_observations_long.csv","behaviour_observations_long.csv","likely writer",TRUE,TRUE,"23;119","22: ## | 23: ## Outputs: behaviour_long.csv (keyed merge, app-facing), behaviour_observations_long.csv (raw | 24: ## per-source rows), behaviour_wide.csv (one row per species overview). || 118:                             Measure, Team, role, Value) |> arrange(Species, Measure, Team) | 119: readr::write_csv(obs_out, ""behaviour_observations_long.csv"") | 120: "
"__merging_behaviour/behaviour_compiled.R","__merging_behaviour/behaviour_wide.csv","behaviour_wide.csv","likely writer",TRUE,TRUE,"24;145","23: ## Outputs: behaviour_long.csv (keyed merge, app-facing), behaviour_observations_long.csv (raw | 24: ## per-source rows), behaviour_wide.csv (one row per species overview). | 25: suppressWarnings(suppressMessages({library(tidyverse); library(readxl)})) || 144:   pivot_wider(names_from = Measure, values_from = Value) |> arrange(Species) | 145: readr::write_csv(wide, ""behaviour_wide.csv"") | 146: "
