"change","registry_key","column","was","now"
"ROW REMOVED","Heffner_Heffner_1992_c_TableI","","",""
"ROW REMOVED","Heffner_etal_2008_Table1","","",""
"ROW REMOVED","Kaskan_etal_2005_Figure2","","",""
"ROW REMOVED","Kaskan_etal_2005_Figure3","","",""
"ROW REMOVED","Kruska_Rohrs_1974_Tables2–3","","",""
"ROW REMOVED","Kruska__2014_Tables2–3","","",""
"row added","(no item name) TEST_PROBE_VALUE","","",""
"row added","Heffner_Heffner_1992_TableI","","",""
"row added","Kaskan_etal_2005_ElectronicAppendixA:Table1","","",""
"row added","Kaskan_etal_2005_ElectronicAppendixB","","",""
"row added","Kaskan_etal_2005_Figure3a","","",""
"row added","Kaskan_etal_2005_Figure3b","","",""
"row added","Kruska_Rohrs_1974_Table2","","",""
"row added","Kruska_Rohrs_1974_Table3","","",""
"row added","Kruska__2014_Table2","","",""
"row added","Kruska__2014_Table3","","",""
"cell changed","Baron_etal_1996_Table2","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","ISBN%3A9783764353704_Table2.tsv"
"cell changed","Baron_etal_1996_Table35","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","ISBN%3A9783764353704_Table35.tsv"
"cell changed","Baron_etal_1996_Table5","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","ISBN%3A9783764353704_Table5.tsv"
"cell changed","Bianchi_etal_2012_Table1","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","10.1093%2Fcercor%2Fbhs239_Table1.tsv"
"cell changed","Bianchi_etal_2012_Table2","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","10.1093%2Fcercor%2Fbhs239_Table2.tsv"
"cell changed","DeCasien_Higham_2019_referencesbraindata","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","10.1038%2Fs41559-019-0969-0_referencesbraindata.tsv"
"cell changed","Elston__2000_Figure2","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","10.1523%2FJNEUROSCI.20-18-j0002.2000_Figure2.tsv"
"cell changed","Elston_etal_2001_Table1","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","10.1523%2FJNEUROSCI.21-17-j0002.2001_Table1.tsv"
"cell changed","Elston_etal_2006_Table1","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","10.1002%2Far.a.20278_Table1.tsv"
"cell changed","Fox_Wilczynski_1986_TableI","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","10.1159%2F000118700_TableI.tsv"
"cell changed","Fu_etal_2013_Table1","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","10.1007%2Fs00429-012-0462-x_Table1.tsv"
"cell changed","Garwicz_etal_2009_TableS2","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","10.1073%2Fpnas.0905777106_TableS2.tsv"
"cell changed","Hakeem_etal_2005_Table2","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","10.1002%2Far.a.20255_Table2.tsv"
"cell changed","Jacobs_etal_2001_Table1","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","10.1093%2Fcercor%2F11.6.558_Table1.tsv"
"cell changed","Jacobs_etal_2001_Table2","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","10.1093%2Fcercor%2F11.6.558_Table2.tsv"
"cell changed","Jacobs_etal_2015_Table3","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","10.1007%2Fs00429-014-0830-9_Table3.tsv"
"cell changed","Jacobs_etal_2015_Table4","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","10.1007%2Fs00429-014-0830-9_Table4.tsv"
"cell changed","deMagalhães_etal_2024_anagedata.txt","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","10.1093%2Fnar%2Fgkad927_anagedata.txt.tsv"
"cell changed","deSousa__2008_Suppl.Table5.2","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","UMI%3A3311323_Suppl.Table5.2.tsv"
"cell changed","deSousa__2008_Table4.1","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","UMI%3A3311323_Table4.1.tsv"
"cell changed","deSousa__2008_Table5.1","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","UMI%3A3311323_Table5.1.tsv"
"cell changed","deSousa__2008_Table5.6","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","notfound","UMI%3A3311323_Table5.6.tsv"
"cell changed","Semendeferi_etal_1998_TABLE5","Item full original title","TABLE 5. Total numbers of neurons and neuronal
density (per mm3) in area 13","TABLE 5. Total numbers of neurons and neuronaldensity (per mm3) in area 13"
"cell changed","deSousa_etal_2009_Table2","Item full original title","Table 2 
RMA regressions of V1, V2, and VP GLI values on brain and visual system variables.","Table 2 RMA regressions of V1, V2, and VP GLI values on brain and visual system variables."
