"item","printed_label","taxon_in_source","value_kind","record_type","specimen_kind","taxon_concept","reassignable","hazard","note"
"Fobbs_etal_2011_TableS1a.csv","Normative Control","Homo sapiens","specimen catalog entry, public supplementary table","specimen","historical_biological_specimen","","YES - specimen measurement","","canonical_specimen=FOBBS-YH-S1A-001; collection=Yakovlev-Haleem; match=Fobbs-only; Fobbs & Johnson 2011 TableS1a row 1, Yakovlev-Haleem Collection catalog listing (human embryo/fetal/perinatal series). diagnostic_category=Normative Control subcategory=embryos/fetuses gestational_age=6 wks crown_to_rump_mm=14 crown_to_heel_mm=unknown postnatal_survival=stillborn plane_of_section=Transverse No individual catalog/accession number is printed in this table; identity rests solely on table row position within the published supplement. No private evidence used."
"Fobbs_etal_2011_TableS1a.csv","Normative Control","Homo sapiens","specimen catalog entry, public supplementary table","specimen","historical_biological_specimen","","YES - specimen measurement","","canonical_specimen=FOBBS-YH-S1A-002; collection=Yakovlev-Haleem; match=Fobbs-only; Fobbs & Johnson 2011 TableS1a row 2, Yakovlev-Haleem Collection catalog listing (human embryo/fetal/perinatal series). diagnostic_category=Normative Control subcategory=embryos/fetuses gestational_age=7 wks crown_to_rump_mm=20 crown_to_heel_mm=unknown postnatal_survival=stillborn plane_of_section=Transverse No individual catalog/accession number is printed in this table; identity rests solely on table row position within the published supplement. No private evidence used."
"Fobbs_etal_2011_TableS1a.csv","Normative Control","Homo sapiens","specimen catalog entry, public supplementary table","specimen","historical_biological_specimen","","YES - specimen measurement","","canonical_specimen=FOBBS-YH-S1A-003; collection=Yakovlev-Haleem; match=Fobbs-only; Fobbs & Johnson 2011 TableS1a row 3, Yakovlev-Haleem Collection catalog listing (human embryo/fetal/perinatal series). diagnostic_category=Normative Control subcategory=embryos/fetuses gestational_age=8 wks crown_to_rump_mm=32 crown_to_heel_mm=unknown postnatal_survival=stillborn plane_of_section=Horizontal No individual catalog/accession number is printed in this table; identity rests solely on table row position within the published supplement. No private evidence used."
"Fobbs_etal_2011_TableS1a.csv","Normative Control","Homo sapiens","specimen catalog entry, public supplementary table","specimen","historical_biological_specimen","","YES - specimen measurement","","canonical_specimen=FOBBS-YH-S1A-004; collection=Yakovlev-Haleem; match=Fobbs-only; Fobbs & Johnson 2011 TableS1a row 4, Yakovlev-Haleem Collection catalog listing (human embryo/fetal/perinatal series). diagnostic_category=Normative Control subcategory=embryos/fetuses gestational_age=8 wks crown_to_rump_mm=34 crown_to_heel_mm=unknown postnatal_survival=stillborn plane_of_section=Transverse No individual catalog/accession number is printed in this table; identity rests solely on table row position within the published supplement. No private evidence used."
"Fobbs_etal_2011_TableS1a.csv","Normative Control","Homo sapiens","specimen catalog entry, public supplementary table","specimen","historical_biological_specimen","","YES - specimen measurement","","canonical_specimen=FOBBS-YH-S1A-005; collection=Yakovlev-Haleem; match=Fobbs-only; Fobbs & Johnson 2011 TableS1a row 5, Yakovlev-Haleem Collection catalog listing (human embryo/fetal/perinatal series). diagnostic_category=Normative Control subcategory=embryos/fetuses gestational_age=9 wks crown_to_rump_mm=30 crown_to_heel_mm=unknown postnatal_survival=stillborn plane_of_section=Horizontal No individual catalog/accession number is printed in this table; identity rests solely on table row position within the published supplement. No private evidence used."
"Fobbs_etal_2011_TableS1a.csv","Normative Control","Homo sapiens","specimen catalog entry, public supplementary table","specimen","historical_biological_specimen","","YES - specimen measurement","","canonical_specimen=FOBBS-YH-S1A-006; collection=Yakovlev-Haleem; match=Fobbs-only; Fobbs & Johnson 2011 TableS1a row 6, Yakovlev-Haleem Collection catalog listing (human embryo/fetal/perinatal series). diagnostic_category=Normative Control subcategory=embryos/fetuses gestational_age=9 wks crown_to_rump_mm=34 crown_to_heel_mm=unknown postnatal_survival=stillborn plane_of_section=Frontal No individual catalog/accession number is printed in this table; identity rests solely on table row position within the published supplement. No private evidence used."
"Fobbs_etal_2011_TableS1a.csv","Normative Control","Homo sapiens","specimen catalog entry, public supplementary table","specimen","historical_biological_specimen","","YES - specimen measurement","","canonical_specimen=FOBBS-YH-S1A-007; collection=Yakovlev-Haleem; match=Fobbs-only; Fobbs & Johnson 2011 TableS1a row 7, Yakovlev-Haleem Collection catalog listing (human embryo/fetal/perinatal series). diagnostic_category=Normative Control subcategory=embryos/fetuses gestational_age=10 wks crown_to_rump_mm=45 crown_to_heel_mm=unknown postnatal_survival=stillborn plane_of_section=Transverse No individual catalog/accession number is printed in this table; identity rests solely on table row position within the published supplement. No private evidence used."
"Fobbs_etal_2011_TableS1a.csv","Normative Control","Homo sapiens","specimen catalog entry, public supplementary table","specimen","historical_biological_specimen","","YES - specimen measurement","","canonical_specimen=FOBBS-YH-S1A-008; collection=Yakovlev-Haleem; match=Fobbs-only; Fobbs & Johnson 2011 TableS1a row 8, Yakovlev-Haleem Collection catalog listing (human embryo/fetal/perinatal series). diagnostic_category=Normative Control subcategory=embryos/fetuses gestational_age=10 wks crown_to_rump_mm=46 crown_to_heel_mm=65 postnatal_survival=stillborn plane_of_section=Sagittal No individual catalog/accession number is printed in this table; identity rests solely on table row position within the published supplement. No private evidence used."
"Fobbs_etal_2011_TableS1a.csv","Normative Control","Homo sapiens","specimen catalog entry, public supplementary table","specimen","historical_biological_specimen","","YES - specimen measurement","","canonical_specimen=FOBBS-YH-S1A-009; collection=Yakovlev-Haleem; match=Fobbs-only; Fobbs & Johnson 2011 TableS1a row 9, Yakovlev-Haleem Collection catalog listing (human embryo/fetal/perinatal series). diagnostic_category=Normative Control subcategory=embryos/fetuses gestational_age=10 wks crown_to_rump_mm=45 crown_to_heel_mm=54 postnatal_survival=stillborn plane_of_section=Horizontal No individual catalog/accession number is printed in this table; identity rests solely on table row position within the published supplement. No private evidence used."
"Fobbs_etal_2011_TableS1a.csv","Normative Control","Homo sapiens","specimen catalog entry, public supplementary table","specimen","historical_biological_specimen","","YES - specimen measurement","","canonical_specimen=FOBBS-YH-S1A-010; collection=Yakovlev-Haleem; match=Fobbs-only; Fobbs & Johnson 2011 TableS1a row 10, Yakovlev-Haleem Collection catalog listing (human embryo/fetal/perinatal series). diagnostic_category=Normative Control subcategory=embryos/fetuses gestational_age=10 wks crown_to_rump_mm=45 crown_to_heel_mm=51 postnatal_survival=stillborn plane_of_section=Horizontal No individual catalog/accession number is printed in this table; identity rests solely on table row position within the published supplement. No private evidence used."
