source_publication,item_reference,code,species_as_printed,n,canonical_specimen,decision,rationale
Matano_etal_1985_a,Matano_etal_1985_a_Table1,137,Suncus murinus,1,STEPHAN-SUNCMURI-137,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-SUNCMURI-137.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,577,Tenrec ecaudatus,1,STEPHAN-TENRECAU-577,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-TENRECAU-577.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,579,Setifer setosus,1,STEPHAN-SETISETO-579,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-SETISETO-579.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,581,Hemicentetes semispin.,1,STEPHAN-HEMISEMI-581,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-HEMISEMI-581.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,585,Echinops telfairi,1,STEPHAN-ECHITELF-585,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-ECHITELF-585.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,695,Erinaceus europaeus,1,STEPHAN-ERINEURO-695,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-ERINEURO-695.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,715,Sorex araneus,1,STEPHAN-SOREARAN-715,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-SOREARAN-715.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,769,Sorex minutus,1,STEPHAN-SOREMINU-769,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-SOREMINU-769.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,943,Crocidura flavescens,1,STEPHAN-CROCFLAV-943,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-CROCFLAV-943.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,1070,Crocidura r. russula,1,STEPHAN-CROCRUSS-1070,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-CROCRUSS-1070.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,1263,Tupaia glis,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,1289,Urogale everetti,1,STEPHAN-UROGEVER-1289,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-UROGEVER-1289.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3199,Microcebus murinus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3203,Cheirogaleus major,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3205,Cheirogaleus medius,1,STEPHAN-CHEIMEDI-3205,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-CHEIMEDI-3205.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3215,Lemur fulvus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3227,Varecia variegata,1,STEPHAN-VAREVARI-3227,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-VAREVARI-3227.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3239,Lepilemur ruficaudatus,1,STEPHAN-LEPIRUFI-3239,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-LEPIRUFI-3239.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3243,Avahi l. laniger,1,STEPHAN-AVAHLANI-3243,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-AVAHLANI-3243.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3244,Avahi l. occidentalis,1,BAUERNFEIND-AVAHI-3244,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen BAUERNFEIND-AVAHI-3244. Only a lettered Tier-Nr. variant exists in the crosswalk for this code; match recorded as 'probable'.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3247,Propithecus verreauxi,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
