stephan_art_nr,in_1984_table,in_1988_table,n_at_accession,printed_species_1984,printed_species_1988,accepted_taxon,classification,canonical_specimen,source_tables,treatment
577,True,True,1,Tenrec ecaudatus,Tenrec ecaudatus,Tenrec ecaudatus,specimen,STEPHAN-TENRECAU-577,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
579,True,True,1,Setifer setosus,Setifer setosus,Setifer setosus,specimen,STEPHAN-SETISETO-579,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
581,True,True,1,Hemicentetes semispin.,Hemicentetes semispinosus,Hemicentetes semispinosus,specimen,STEPHAN-HEMISEMI-581,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
585,True,True,1,Echinops telfairi,Echinops telfairi,Echinops telfairi,specimen,STEPHAN-ECHITELF-585,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
689,True,False,1,Aethechinus algirus,,Atelerix algirus,specimen,STEPHAN-ATELALGI-689,Stephan_etal_1984_Table1,registered as individual specimen (new canonical_specimen minted)
695,True,False,1,Erinaceus europaeus,,Erinaceus europaeus,specimen,STEPHAN-ERINEURO-695,Stephan_etal_1984_Table1,registered as individual specimen (new canonical_specimen minted)
715,True,False,1,Sorex araneus,,Sorex araneus,specimen,STEPHAN-SOREARAN-715,Stephan_etal_1984_Table1,registered as individual specimen (new canonical_specimen minted)
769,True,False,1,Sorex minutus,,Sorex minutus,specimen,STEPHAN-SOREMINU-769,Stephan_etal_1984_Table1,registered as individual specimen (new canonical_specimen minted)
943,True,False,1,Crocidura occidentalis,,Crocidura flavescens,specimen,STEPHAN-CROCFLAV-943,Stephan_etal_1984_Table1,registered as individual specimen (new canonical_specimen minted)
1071,True,False,1,Crocidura russula,,Crocidura russula,specimen,STEPHAN-CROCRUSS-1071,Stephan_etal_1984_Table1,registered as individual specimen (new canonical_specimen minted)
1137,True,False,1,Suncus murinus,,Suncus murinus,specimen,STEPHAN-SUNCMURI-1137,Stephan_etal_1984_Table1,registered as individual specimen (new canonical_specimen minted)
1263,True,True,4,Tupaia glis,Tupaia glis,Tupaia glis,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,NOT registered as individual -- Art. Nr. accession pools n=4 animals per Stephan et al. 1984 Table 1; no Tier Nr. breakdown available in either source table to resolve to one physical animal (never pick an animal)
