label,authority,basis,status,n_producers,all_producers,other_producers,note
% Fruit and seeds,____EvoM1_TraitTable (melted),auto_single_producer,active,1,____EvoM1_TraitTable (melted),,
AccessoryOlfactoryBulb_layer_6_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
AccessoryOlfactoryBulb_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Activity_pattern (category),__merging_body_ecology,auto_single_producer,active,1,__merging_body_ecology,,
Activity_timing,____EvoM1_TraitTable (melted),auto_single_producer,active,1,____EvoM1_TraitTable (melted),,
Adult_head_body_length_mm,____EvoM1_TraitTable (melted),auto_single_producer,active,1,____EvoM1_TraitTable (melted),,
Age_at_eye_opening_days,____EvoM1_TraitTable (melted),auto_single_producer,active,1,____EvoM1_TraitTable (melted),,
Age_at_first_breeding_days,____EvoM1_TraitTable (melted),auto_single_producer,active,1,____EvoM1_TraitTable (melted),,
Age_at_first_breeding_F_mnths,____EvoM1_TraitTable (melted),auto_single_producer,active,1,____EvoM1_TraitTable (melted),,
Agranular_insular_cortex_left_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Agranular_insular_cortex_right_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Agranular_insular_cortex_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Altricial_precocial,____EvoM1_TraitTable (melted),auto_single_producer,active,1,____EvoM1_TraitTable (melted),,
Amygdala_accessory_basal_nucleus_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Amygdala_basal_nucleus_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Amygdala_basolateral_division_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Amygdala_C.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Amygdala_CMRgl (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Amygdala_lateral_nucleus_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Amygdala_Mass (g),__merging_weights,adopted_from_variable_canonical,active,2,__merging_cellcounts; __merging_weights,__merging_cellcounts,authority already declared by superseded_by; adopted unchanged
Amygdala_N.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Amygdala_N.p.mg,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Amygdala_O.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Amygdala_O.p.mg,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Amygdala_O.p.N,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Amygdala_p.C.N,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
