"level","side","slope","intercept","r","TF_mean_mm2","VA_mean_mm2","VA_predicted_mm2","pct_diff"
"C2","both",0.8718,-0.3,0.7,38.015,12.085,11.9510142568657,-1.10869460599342
"C2","left",1.0081,-0.4974,0.71,38.39,12.82,12.5791205410305,-1.87893493735979
"C2","right",1.098,-0.6844,0.79,37.64,11.35,11.1087009865678,-2.12598249719971
"C3","both",1.1476,-0.6116,0.82,27.765,11.1,11.0906738787818,-0.0840191100735186
"C3","left",0.7875,-0.1055,0.63,27.7,10.59,10.7263710993988,1.28773464965819
"C3","right",1.3821,-0.9536,0.84,27.83,11.61,11.037270910694,-4.9330670913519
"C4","both",0.9421,-0.326,0.62,26.375,10.67,10.3016175934762,-3.4525061529877
"C4","left",0.68746,0.03023,0.54,26.84,10.6,10.291076944509,-2.91436844802869
"C4","right",1.4089,-0.9864,0.75,25.91,10.74,10.1165920655148,-5.80454315163093
"C5","both",0.8932,-0.2759,0.75,30.375,11.495,11.175926764489,-2.77575672475881
"C5","left",0.9496,-0.3344,0.76,30.14,12.06,11.7542365983356,-2.53535158925724
"C5","right",0.9003,-0.3068,0.77,30.61,10.93,10.7379840772386,-1.75677879928112
"C6","both",0.7823,-0.1075,0.83,31.355,11.655,11.5627414228014,-0.791579383943183
"C6","left",0.8898,-0.2544,0.8,32.02,12.39,12.165330085955,-1.81331649753814
"C6","right",0.8384,-0.2118,0.87,30.69,10.92,10.8367284609506,-0.762559881404523
