Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
species,species binomial as printed with the footnote marker removed,,,,info,,deSousa_etal_2009_Table1,"taxonomy applied later via ../_keys/Stephan/species_key.csv, token deSousa2009 (Gorilla gorilla -> Gorilla sp.; Pongo pygmaeus -> Pongo sp., as for deSousa2010/2013 - same specimens)",Table 1 col 1
species_as_published,species name exactly as printed minus the superscript footnote marker (the superscript is typography and never part of the name - it is carried in footnote_ref),,,,info,,deSousa_etal_2009_Table1,"the flattened snapshot cells (Homo sapiensa,b; Pan paniscusc; Pan troglodytesd) are a join key inside the .R only, and never reach the data",Table 1 col 1
footnote_ref,printed footnote marker(s) carried by the species cell,,,,info,,deSousa_etal_2009_Table1,a = body weight is a same-sex species mean (Zilles 1972); b = human neocortex is a combined-sex mean (n = 8) from Carol MacLeod unpublished; c = body weight is a same-sex species mean (Jungers and Susman 1984); d = brain and body weight are combined-sex species means (Herndon et al. 1999),Table 1 footnotes a-d
code,the paper's own 3-character specimen code,,,,info,,deSousa_etal_2009_Table1,"the restricted audit compares this with the private catalog's working-code field; exact mappings are intentionally not repeated publicly",Table 1 col 2
archive_number,collection archive number as printed,,,,info,,deSousa_etal_2009_Table1,"same nine specimens as deSousa_etal_2010_Table1, printed there with an en dash and the accession fraction (YN82-140, Disco 3/97, Zahlia 1/97, Bathsheba 4/97)",Table 1 col 3
sex,sex as printed (NA = not recorded),,Sex,,info,Apes & humans + M. fascicularis,deSousa_etal_2009_Table1,private-catalog agreement is recorded only in the restricted audit,Table 1 col 4
age_yrs,age at death in years as printed (NA = not recorded),,Age.years,,info,Apes & humans + M. fascicularis,deSousa_etal_2009_Table1,private-catalog agreement is recorded only in the restricted audit,Table 1 col 5
body_mass_g,body mass; printed in kg and multiplied by 1000,Body_weight,Mass.g,,secondary,Apes & humans + M. fascicularis,deSousa_etal_2009_Table1,SECONDARY - not merged. Rows flagged a/c/d carry a published species mean rather than this specimen's mass; the unflagged values are printed to 2 significant figures,Table 1 col 6
brain_mass_mg,fresh brain mass; printed in g and multiplied by 1000,WholeBrain,Mass.mg,,secondary,Apes & humans + M. fascicularis,deSousa_etal_2009_Table1,SECONDARY - not merged. Same specimens as deSousa_etal_2010_Table1 and equal within that table's print rounding (58 vs 57.6; 360 vs 359.5); ptd is the Herndon et al. 1999 species mean,Table 1 col 7
EQ,encephalization quotient exactly as printed,,size.index,,info,Apes & humans + M. fascicularis,deSousa_etal_2009_Table1,derived index - never merged; recomputed downstream from the pooled masses. See Method:EQ,Table 1 col 8 (footnote e)
neocortex_volume_mm3,neocortex volume; printed in cm3 and multiplied by 1000,Neocortex,Vol.mm3,,secondary,Apes & humans + M. fascicularis,deSousa_etal_2009_Table1,"SECONDARY - not merged. The whole column is Carol MacLeod's own unpublished measurement (MacLeod_data.xls Table II, private repo Evo-M1-Trait-Data-restricted, unpublished_data/____Unpublished__MacLeod_neocortex/), reaching this table via deSousa_etal_2010_Table1. The two Homo rows carry her combined-sex mean of 8 humans = 973.9987 -> printed 974 (footnote b). ppz carries PAN PANISCUS H1 = YN86-137 (278.968) instead of H2 = Zahlia (214.405) - a row mix-up in her anonymously-labelled sheet; see the README FLAG",Table 1 col 9
left_V1_volume_mm3,LEFT V1 (area striata) grey matter volume in mm3; printed in mm3 and used as printed,Area_striata_grey_matter,Vol.mm3,,secondary,Apes & humans + M. fascicularis,deSousa_etal_2009_Table1,"SECONDARY - not merged; the same measurement as deSousa_etal_2010_Table1 left_V1_volume_cm3, here at whole-mm3 precision. LEFT hemisphere, printed UNDOUBLED - see Method:laterality",Table 1 col 10
