row_id,category,species_file,species_s2,species_rows_aligned,n_internal_problem,brain_cm3,brain_mm3,brain_s2,brain_mm3_eq_cm3x1000,brain_sheet1_eq_sheet2,neo_cm3,neo_mm3,neo_s2,neo_mm3_eq_cm3x1000,neo_sheet1_eq_sheet2,V1_cm3,V1_mm3,V1_s2,V1_mm3_eq_cm3x1000,V1_sheet1_eq_sheet2,LGN_cm3,LGN_mm3,LGN_s2,LGN_mm3_eq_cm3x1000,LGN_sheet1_eq_sheet2
1,Simians,Homo sapiens,Homo sapiens,TRUE,0,1258.39768339768,1258397.68339768,1258397.68339768,TRUE,TRUE,991,991000,991000,TRUE,TRUE,15.2475011583012,15247.5011583012,15247.5011583012,TRUE,TRUE,0.335021920202671,335.021920202671,335.021920202671,TRUE,TRUE
2,Simians,Pan troglodytes,Pan troglodytes,TRUE,0,319.670709140537,319670.709140537,319670.709140537,TRUE,TRUE,264.65,264650,264650,TRUE,TRUE,8.26830320913063,8268.30320913063,8268.30320913063,TRUE,TRUE,0.250738502700026,250.738502700026,250.738502700026,TRUE,TRUE
3,Simians,Pan paniscus,Pan paniscus,TRUE,0,338.803088803089,338803.088803089,338803.088803089,TRUE,TRUE,246.7,246700,246700,TRUE,TRUE,11.6064643411402,11606.4643411402,11606.4643411402,TRUE,TRUE,0.275140119058378,275.140119058378,275.140119058378,TRUE,TRUE
4,Simians,Gorilla gorilla,Gorilla gorilla,TRUE,0,398.648648648649,398648.648648649,398648.648648649,TRUE,TRUE,283.7,283700,283700,TRUE,TRUE,9.12902131733286,9129.02131733286,9129.02131733286,TRUE,TRUE,0.308524768463104,308.524768463104,308.524768463104,TRUE,TRUE
5,Simians,Pongo pygmaeus,Pongo pygmaeus,TRUE,0,371.299871299871,371299.871299871,371299.871299871,TRUE,TRUE,269.233333333333,269233.333333333,269233.333333333,TRUE,TRUE,8.23371068590795,8233.71068590795,8233.71068590795,TRUE,TRUE,0.259121098112831,259.121098112831,259.121098112831,TRUE,TRUE
6,Simians,Hylobates lar,Hylobates lar,TRUE,0,102.316602316602,102316.602316602,102316.602316602,TRUE,TRUE,68.3,68300,68300,TRUE,TRUE,4.08666130802376,4086.66130802376,4086.66130802376,TRUE,TRUE,0.16623885567803,166.23885567803,166.23885567803,TRUE,TRUE
7,Simians,Symphalangus syndactylus,Symphalangus syndactylus,TRUE,0,133.880308880309,133880.308880309,133880.308880309,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,5.46891827475393,5468.91827475393,5468.91827475393,TRUE,TRUE,NA,NA,NA,TRUE,TRUE
8,Simians,Macaca fascicularis,Macaca fascicularis,TRUE,0,55.5984555984556,55598.4555984556,55598.4555984556,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,2.71334622868471,2713.34622868471,2713.34622868471,TRUE,TRUE,0.0918861076499505,91.8861076499505,91.8861076499505,TRUE,TRUE
9,Simians,Macaca mulatta,Macaca mulatta,TRUE,0,89.7683397683398,89768.3397683398,89768.3397683398,TRUE,TRUE,63.482,63482,63482,TRUE,TRUE,5.343,5343,5343,TRUE,TRUE,0.158,158,158,TRUE,TRUE
10,Simians,Lophocebus albigena,Lophocebus albigena,TRUE,0,100.3861003861,100386.1003861,100386.1003861,TRUE,TRUE,68.733,68733,68733,TRUE,TRUE,5.42,5420,5420,TRUE,TRUE,0.182,182,182,TRUE,TRUE
11,Simians,Papio anubis,Papio anubis,TRUE,0,194.015444015444,194015.444015444,194015.444015444,TRUE,TRUE,140.142,140142,140142,TRUE,TRUE,10.001,10001,10001,TRUE,TRUE,0.395,395,395,TRUE,TRUE
12,Simians,Cercopithecus ascanius,Cercopithecus ascanius,TRUE,0,64.6718146718147,64671.8146718147,64671.8146718147,TRUE,TRUE,45.166,45166,45166,TRUE,TRUE,4.272,4272,4272,TRUE,TRUE,0.147,147,147,TRUE,TRUE
