genus_species,tip_name,o_min,o_max,o_range,invertebrate,terrestrial
Pseudotropheus_acei,Pseudotropheus_ater_3636149,378.4,535.1,156.7,N,N
Melanochromis_vermivorus,Melanochromis_vermivorus_747272,418.1,555.2,137.1,N,N
Tramitichromis_intermedius,Tramitichromis_intermedius_876087,455.1,568.9,113.8,N,N
Cottus_kessleri,Leocottus_kesslerii_942680,449,516,67,N,N
Paracottus_knerii,Paracottus_knerii_77105,450,520.3,70.3,N,N
Batrachocottus_baicalensis,Batrachocottus_baicalensis_106283,450,521.4,71.4,N,N
Batrachocottus_multiradiatus,Batrachocottus_multiradiatus_77068,447,517.3,70.3,N,N
Batrachocottus_nicolskii,Batrachocottus_nikolskii_927233,428.2,511.6,83.4,N,N
Cottocomephorus_grewingki,Cottocomephorus_grewingki_525311,449,523,74,N,N
Cottocomephorus_inermis,Cottocomephorus_inermis_77111,450.4,520.6,70.2,N,N
Procottus_jettelesi,Procottus_jettelesii_651000,448,521,73,N,N
Asprocottus_intermedius,Asprocottus_intermedius_3632260,488,512,24,N,N
Limnocottus_eurystomus,Cyphocottus_eurystomus_346623,427.6,516.4,88.8,N,N
Limnocottus_pallidus,Limnocottus_pallidus_650997,484.8,500,15.2,N,N
Limnocottus_griseus,Limnocottus_griseus_624058,431,503.3,72.3,N,N
Limnocottus_bergianus,Limnocottus_bergianus_650998,490.4,502.6,12.2,N,N
Cottinella_boulengeri,Cottinella_boulengeri_650989,479.5,495.7,16.2,N,N
Abyssocottus_korotneffi,Abyssocottus_korotneffi_650991,481.3,494,12.7,N,N
Comephorus_dybowskii,Comephorus_dybowskii_231447,495,498.2,3.2,N,N
Comephorus_baicalensis,Comephorus_baicalensis_1019835,497,501,4,N,N
Strix_aluco,Strix_aluco_116522,502,555,53,N,Y
Rana_cancrivora,Fejervarya_cancrivora_787583,433,502,69,N,Y
Potamotrygon_motoro,Potamotrygon_motoro_151418,499,499,0,N,N
Gekko_gecko,Gekko_gecko_953907,364,521,157,N,Y
Mysis_relicta,Mysis_relicta_373483,520,592,72,Y,N
Mysis_salemaai,Mysis_salemaai_657420,521.2,546,24.8,Y,N
Mysis_diluviana,Mysis_diluviana_31479,503,509.1,6.1,Y,N
Sardinops_melanostictus,Sardinops_melanostictus_318896,382,382,0,N,N
Xenos_peckii,Xenos_peckii_587370,345.9,538.7,192.8,Y,Y
Coregonus_lavaretus,Coregonus_lavaretus_872355,531.5,539.8,8.3,N,N
Salvelinus_alpinus,Salvelinus_alpinus_688324,508,512.6,4.6,N,N
Sepia_plangon,Sepia_plangon_378950,498,500,2,N,N
Callistoctopus_dierythraeus,Callistoctopus_dierythraeus_826769,484,488,4,N,N
Hapalochlaena_maculosa,Hapalochlaena_maculosa_629519,485,486,1,N,N
Octopus_australis,Octopus_australis_826768,484,485,1,Y,N
Octopus_tetricus,Octopus_tetricus_754416,484,488,4,Y,N
Euprymna_tasmanica,Euprymna_tasmanica_916326,498,498,0,Y,N
Idiosepius_notoides,Idiosepius_notoides_362798,492,493,1,Y,N
Sepioteuthis_lessoniana,Sepioteuthis_lessoniana_616360,502,505,3,Y,N
Myrmecia_vindex,Myrmecia_vindex_3261447,370,550,180,Y,Y
Myrmecia_croslandi,Myrmecia_croslandi_962573,370,510,140,Y,Y
Meleagris_gallopavo,Meleagris_gallopavo_446482,417.8,564.1,146.3,N,Y
Danio_aequipinnatus,Devario_aequipinnatus_1083064,358,560,202,N,N
Brachydanio_rerio,Danio_rerio_1005914,405,556,151,N,N
Oncorhynchus_mykiss,Oncorhynchus_mykiss_-species_in_domain_Eukaryota-_165368,365,598,233,N,N
Caranx_hippos,Caranx_hippos_78208,499,499,0,N,N
Trachurus_symmetricus,Trachurus_symmetricus_315506,497,497,0,N,N
Scomber_japonicus,Scomber_japonicus_70556,491,491,0,N,N
Sarda_chiliensis,Sarda_chiliensis_833178,488,488,0,N,N
Scomberomorus_sierra,Scomberomorus_sierra_266396,486,530,44,N,N
Paralabrax_clathratus,Paralabrax_clathratus_805781,500,520,20,N,N
Chromis_punctipinnis,,498,498,0,N,N
Coryphopterus_nicholsii,Rhinogobiops_nicholsii_494025,500,500,0,N,N
Scorpaena_guttata,Scorpaena_guttata_309994,500,500,0,N,N
Axoclinius_carminalis,Enneanectes_carminalis_453028,500,500,0,N,N
Acipenser_fulvescens,Acipenser_fulvescens_698270,448,619,171,N,N
Rynchophorus_ferrugineus,Rhynchophorus_ferrugineus_-species_in_domain_Eukaryota-_62699,366,564,198,N,N
Rhinoptera_bonasus,Rhinoptera_bonasus_197732,470,551,81,N,N
Urobatis_jamaicensis,Urobatis_jamaicensis_450826,475,562,87,N,N
Hexagrammos_octogrammus,Hexagrammos_octogrammus_185862,530,625,95,N,N
Carcharhinus_acronotus,Carcharhinus_acronotus_147232,480,480,0,N,N
Sphyrna_lewini,Sphyrna_lewini_450134,530,530,0,N,N
Sphyrna_tiburo,Sphyrna_tiburo_218666,480,480,0,N,N
Rhinobatus_typus,Glaucostegus_typus_463561,476.4,559.4,83,N,N
Aptychotrema_rostrata,Aptychotrema_rostrata_233377,457.7,554.8,97.1,N,N
Dugesia_japonica,Dugesia_japonica_101220,500,500,0,Y,N
Engraulis_japonicus,Engraulis_japonicus_690902,492,502,10,N,N
Engraulis_encrasicolus,Engraulis_encrasicolus_222963,474,500,26,N,N
Anchoa_mitchilli,Anchoa_mitchilli_681352,501,541,40,N,N
Sygnathus_typhle,Syngnathus_typhle_251396,500.6,500.6,0,N,N
Gobius_niger,Gobius_niger_1054967,504.8,504.8,0,N,N
Pomatoschistus_minutus,Pomatoschistus_minutus_1048873,503,508.3,5.3,N,N
Pomatoschistus_microps,Pomatoschistus_microps_1069642,515.7,515.7,0,N,N
Clupea_harengus,Clupea_harengus_1005932,502.5,512.3,9.8,N,N
Zoarces_viviparus,Zoarces_viviparus_752564,512.8,512.8,0,N,N
Platichthys_flesus,Platichthys_flesus_408331,510.3,512.2,1.9,N,N
